"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME butyrophilin btn family interactions (n=12)","REACTOME butyrophilin btn family interactions (n=12)","5/115","12/13343",0.416666666666667,48.3442028985507,15.2981305609556,3.28888461804481e-08,2.26933038645092e-05,2.25721344312128e-05,"BTN2A1/BTN2A2/BTN3A1/BTN3A2/BTN3A3",5
"KEGG metabolism of xenobiotics by cytochrome p450 (n=70)","KEGG metabolism of xenobiotics by cytochrome p450 (n=70)","6/115","70/13343",0.0857142857142857,9.94509316770186,6.99619066000391,3.00868989647111e-05,0.00933104585861982,0.00928122334068668,"CYP2S1/GSTM5/UGT1A10/UGT1A6/UGT1A7/UGT1A9",6
"KEGG ascorbate and aldarate metabolism (n=25)","KEGG ascorbate and aldarate metabolism (n=25)","4/115","25/13343",0.16,18.5641739130435,8.19578435636041,5.75954077496297e-05,0.00933104585861982,0.00928122334068668,"UGT1A10/UGT1A6/UGT1A7/UGT1A9",4
"REACTOME glucuronidation (n=25)","REACTOME glucuronidation (n=25)","4/115","25/13343",0.16,18.5641739130435,8.19578435636041,5.75954077496297e-05,0.00933104585861982,0.00928122334068668,"UGT1A10/UGT1A6/UGT1A7/UGT1A9",4
"WP glucuronidation (n=26)","WP glucuronidation (n=26)","4/115","26/13343",0.153846153846154,17.8501672240803,8.01862649351953,6.76162743378248e-05,0.00933104585861982,0.00928122334068668,"UGT1A10/UGT1A6/UGT1A7/UGT1A9",4
"KEGG pentose and glucuronate interconversions (n=28)","KEGG pentose and glucuronate interconversions (n=28)","4/115","28/13343",0.142857142857143,16.5751552795031,7.6922450434697,9.13821487404194e-05,0.0105089471051482,0.0104528352594304,"UGT1A10/UGT1A6/UGT1A7/UGT1A9",4
"WP irinotecan pathway (n=13)","WP irinotecan pathway (n=13)","3/115","13/13343",0.230769230769231,26.7752508361204,8.66905577339868,0.000167492806699912,0.0165100052318485,0.0164218511230591,"ABCG2/UGT1A10/UGT1A9",3
"WP codeine and morphine metabolism (n=15)","WP codeine and morphine metabolism (n=15)","3/115","15/13343",0.2,23.2052173913044,8.02288305948185,0.000263133417986565,0.0226952573013412,0.0225740774377948,"UGT1A10/UGT1A6/UGT1A9",3
"KEGG drug metabolism cytochrome p450 (n=72)","KEGG drug metabolism cytochrome p450 (n=72)","5/115","72/13343",0.0694444444444444,8.05736714975845,5.59847096807241,0.000384959347004518,0.0286095330900541,0.0284567743321362,"GSTM5/UGT1A10/UGT1A6/UGT1A7/UGT1A9",5
"KEGG porphyrin and chlorophyll metabolism (n=41)","KEGG porphyrin and chlorophyll metabolism (n=41)","4/115","41/13343",0.0975609756097561,11.3196182396607,6.17034409116022,0.00041463091434861,0.0286095330900541,0.0284567743321362,"UGT1A10/UGT1A6/UGT1A7/UGT1A9",4
"REACTOME biological oxidations (n=222)","REACTOME biological oxidations (n=222)","8/115","222/13343",0.036036036036036,4.18112025068547,4.45641267754716,0.000665696266744121,0.0417573112775858,0.0415343508054705,"CYP2S1/DPEP1/AOC1/GSTM5/UGT1A10/UGT1A6/UGT1A7/UGT1A9",8
