"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"REACTOME signaling by receptor tyrosine kinases (n=519)","REACTOME signaling by receptor tyrosine kinases (n=519)","68/698","519/11681",0.13102119460501,2.1926340604314,7.00661926614474,5.23693219667521e-10,2.93268203013812e-08,2.14989848074035e-08,"AP2A2/CAV1/VAV2/STAT3/VEGFA/ATP6V0A1/ALK/PTPN12/ERBB4/LAMA5/DNM1/NAB1/BCAR1/PIK3R3/DNM2/ITCH/FGF18/DNM3/SPRY2/SH2B2/MAP2K5/MAPK13/MAPK14/ESR1/COL5A3/HGFAC/PDGFC/VAV3/TAB2/MTOR/USP8/AP2S1/ELMO1/DOCK3/TRIB1/ATP6V1G3/COL27A1/ACTB/APOE/BDNF/COL11A1/SH2B3/EGR2/PTK2/FES/FGF5/FGFR2/FGFR3/FGFR4/FLT3/NRG1/IGF2/INSR/ITGB3/JAK2/KDR/MET/NTRK1/PRKCA/PRKCE/PTPN2/TGFA/THBS3/MEF2C/PTPN11/MEF2D/INS/MST1",68
"WP malignant pleural mesothelioma (n=446)","WP malignant pleural mesothelioma (n=446)","46/698","446/11681",0.103139013452915,1.72602695722564,3.94114377220862,0.000195095827635835,0.00519550949806844,0.00380873816587724,"E2F1/VEGFA/CDKN1A/LAMA5/ATM/TERT/TCF7L2/WNT2B/FGF18/CSF2/MAD1L1/MAP2K5/MAPK14/MAP2K6/PDGFC/FOXO1/SETD2/MTOR/CTNNA3/ACTB/BCL2/BDNF/CCND1/CCND2/CCNE1/SFRP4/PTK2/FGF5/FGFR2/FGFR3/FGFR4/FLT3/IGF2/IL10/INSR/ITGB3/KDR/MET/NTRK1/TGFA/TGFB1/WNT3/WNT4/MEF2D/INS/MST1",46
"REACTOME mapk family signaling cascades (n=327)","REACTOME mapk family signaling cascades (n=327)","36/698","327/11681",0.110091743119266,1.84238058936411,3.89490099988323,0.000278330865967952,0.00519550949806844,0.00380873816587724,"ERBB4/PRKG2/PSMD2/MRAS/FGF18/CSF2/MARK3/FOXO1/IGF2BP1/ABHD17C/RGL3/BRAP/TYK2/TNRC6B/AGO2/KALRN/ACTB/CAMK2B/PTK2/FGF5/FGFR2/FGFR3/FGFR4/FLT3/NRG1/IL2/IL2RA/ITGB3/JAK2/MET/NCAM1/NF1/PRKCQ/TGFA/PTPN11/FOXO3",36
"REACTOME diseases of signal transduction by growth factor receptors and second messengers (n=432)","REACTOME diseases of signal transduction by growth factor receptors and second messengers (n=432)","43/698","432/11681",0.099537037037037,1.66574803671867,3.55454036423217,0.000662262241190409,0.00730698539266042,0.00535662462995782,"STAT3/ALK/CDKN1A/PTPN12/ERBB4/BCL11A/PIK3R3/ESR2/PSMD2/MRAS/BCL2L11/SMAD3/TCF7L2/FGF18/NCOR2/TNKS/MARK3/ESR1/ICOS/FOXO1/BRAP/MTOR/HDAC9/MAML3/ACTB/CAMK2B/CD28/CUX1/FGF5/FGFR2/FGFR3/FGFR4/FLT3/NRG1/ITGB3/JAK2/KDR/MET/NF1/TGFA/TGFB1/PTPN11/FOXO3",43
"REACTOME cytokine signaling in immune system (n=719)","REACTOME cytokine signaling in immune system (n=719)","64/698","719/11681",0.0890125173852573,1.48962065268938,3.4163937266504,0.000788452301850765,0.00730698539266042,0.00535662462995782,"STAT3/STAT4/VEGFA/RELB/CDKN1A/RORA/PML/PTPN12/NFKBIA/LTBR/NUP88/IL4R/LAMA5/IL18R1/TRAF3/PIK3R3/PSMD2/IRF4/BCL2L11/SMAD3/SOCS2/IL18RAP/CSF2/MAPK14/MAP2K6/IRF5/TSLP/FOXO1/IL1RL2/MTAP/TAB2/IL33/ISG20/TYK2/TNFSF15/OASL/IL23R/BCL2/SMARCA4/CAMK2B/CCND1/TNFSF8/SH2B3/FLT3/GHR/IL10/IL13/IL1R1/IL2/IL2RA/IL4/IL7R/IRF1/JAK2/NCAM1/NOS2/PTPN2/IL1RL1/TGFB1/MEF2C/PTPN11/FOXO3/KPNA2/POM121C",64
"WP vegfavegfr2 signaling pathway (n=438)","WP vegfavegfr2 signaling pathway (n=438)","43/698","438/11681",0.0981735159817352,1.64292957046225,3.4573869760787,0.000877256711069319,0.00730698539266042,0.00535662462995782,"NFATC2/NFATC1/CAV1/VAV2/STAT3/VEGFA/CAPZB/NFKBIA/MYO6/GPX1/TKT/SRPK1/BCAR1/BIN1/FAF1/ITCH/MAPK14/MAP2K6/COPG1/FOXO1/EIF3H/MTOR/HTRA1/HDAC9/AP2S1/TRAF3IP2/RBM39/SEMA6D/BCL2/CCND1/P4HA2/ETS1/PTK2/HLX/ITGB3/KDR/PRKCA/PRKCE/PLAUR/TMOD1/MEF2C/PTPN11/FOXO3",43
"WP mesodermal commitment pathway (n=155)","WP mesodermal commitment pathway (n=155)","20/698","155/11681",0.129032258064516,2.15934929291062,3.6629372924671,0.000913373174082552,0.00730698539266042,0.00535662462995782,"HMGA2/NOG/CEP250/MACF1/HNF4A/PITX2/SMAD3/SMAD6/VAV3/DDAH1/SETD2/CRTC1/ARID5B/TOX3/BMP4/CCND1/EXT1/JAK2/RARB/WNT3",20
"REACTOME neuronal system (n=411)","REACTOME neuronal system (n=411)","40/698","411/11681",0.097323600973236,1.62870627932431,3.27111183086374,0.00154446011271131,0.0108112207889792,0.00792551899943963,"AP2A2/SYN2/NSF/ERBB4/MYO6/KCNJ11/TUBB3/KCNQ1/SLC22A1/ADCY9/NRXN3/KCNK3/HCN4/SLC22A2/KCNH2/PPFIA4/LRFN2/KCND3/CACNA2D2/DLGAP4/AP2S1/SLC38A1/KCNN3/ALDH5A1/CHRNA3/CHRNA4/CHRNA5/CHRNB4/CAMK2B/CAMK4/CACNB2/SLC6A3/GRIA1/NRG1/MAPT/PRKCA/ADCY5/ADCY3/KCNK17/KPNA2",40
"WP male infertility (n=155)","WP male infertility (n=155)","19/698","155/11681",0.12258064516129,2.05138182826509,3.32181658359914,0.00222423270569625,0.0138396701687767,0.0101456228680882,"NQO1/GPX1/ATM/BRCA2/ESR2/ETV5/ESR1/HORMAD2/USP8/AGO2/APOB/BCL2/CLU/ERCC1/ERCC2/INSR/NOS2/SOX5/ARNTL",19
"KEGG endocytosis (n=181)","KEGG endocytosis (n=181)","21/698","181/11681",0.116022099447514,1.94162484763096,3.21852523305378,0.00265129384473532,0.0148472455305178,0.010884258941545,"AP2A2/ERBB4/RAB5B/DNM1/DNM2/ITCH/DNM3/ARAP1/CBLC/USP8/AP2S1/ACAP1/ADRB1/FGFR2/FGFR3/FGFR4/IL2RA/KDR/LDLR/MET/NTRK1",21
"REACTOME extracellular matrix organization (n=301)","REACTOME extracellular matrix organization (n=301)","30/698","301/11681",0.0996677740863787,1.66793591562033,2.95961727936581,0.00405102830427723,0.020623416821775,0.0151186702264892,"LAMA5/LOXL1/COL13A1/SH3PXD2A/ADAM15/ITGB8/EFEMP1/MMP24/COL5A3/HTRA1/COLGALT2/LRP4/COL27A1/SCUBE3/ADAMTS3/BMP4/COL11A1/COL17A1/P4HA2/ELN/FBN1/GDF5/ITGB3/KDR/NCAM1/PRKCA/TGFB1/TGFB2/ACAN/CTRB2",30
"WP nuclear receptors metapathway (n=321)","WP nuclear receptors metapathway (n=321)","31/698","321/11681",0.0965732087227414,1.6161484972641,2.82187248562282,0.00558818883790735,0.026078214576901,0.0191174881296831,"MFGE8/STAT3/NQO1/FKBP5/CYP7A1/SLC2A2/NCOA1/ABCG5/ESR1/FOXO1/ABCG8/NCOA6/SLC2A9/SLC2A6/CCND1/CYP1A2/CYP1B1/SLC6A3/NR3C1/NRG1/IL2/SRGN/TGFA/TGFB1/TGFB2/UGT1A1/PDE4B/GSTM5/UGT1A6/UGT1A7/UGT1A9",31
