"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051240","positive regulation of multicellular organismal process","179/981","1724/18986",0.103828306264501,2.00946403948809,10.260231710228,2.16630738255362e-20,1.28592006228383e-16,8.51928882233717e-17,"HMGA2/NFATC2/TBX5/RUNX3/CAV1/ZBTB7B/ACSL1/RELN/STAT3/VEGFA/NOG/CDKN1A/ATP2B1/RORA/ERBB4/IL4R/IL18R1/BCL11A/GPLD1/PTPN22/BMPR1B/CUX2/AP3D1/TRAF3/KCNQ1/BIN1/PRKG2/MACF1/ZFPM1/ETV5/IRF4/SMAD7/MED1/SMAD3/ITCH/TERT/TCF7L2/WNT2B/NCOA1/FGF18/HIPK1/ST3GAL4/ASPM/ITGB8/CSF2/TLR1/DEF8/MAPK13/MAPK14/IRF5/CLNK/DMRT1/KDM2B/TSLP/ICOS/PDGFC/RGS14/VAV3/TBX21/CADM1/IL1RL2/FOXP1/DDAH1/CARD11/PRDM16/SETD2/IFIH1/CEACAM20/IL33/CCDC88B/MTOR/TYK2/CACNA2D2/ERAP1/ZNF365/IL23R/MTNR1B/FERMT2/WNK1/LINGO2/ZNF322/ATAD5/TRIB1/RREB1/MEGF8/AGO2/DENND1B/CD226/ZMIZ1/AKAP6/ACE/CHRNB4/ACTB/ADRB1/APOE/APOH/BCL2/BCL3/BDNF/BMP4/BMP6/SMARCA4/C3/CAMK2B/CCND1/CD28/CLU/CUX1/CYP19A1/CYP1B1/EBF2/CACNB2/SLC6A3/DBH/DRD2/EDN3/EGR2/ETS1/PTK2/FES/FGFR2/GDF5/GHR/GNAS/GRIA1/GRN/GRP/NRG1/HK1/HLX/IGF2/IL10/IL13/IL1R1/IL2/IL2RA/IL4/IL7R/IRF1/ITGB3/JAK2/KDR/LPL/LRP1/MAPT/NOS2/NTRK1/PAX2/PRKCA/PRKCE/PRKCQ/PPARG/PTPRC/SOX5/SOX6/IL1RL1/TGFB1/TGFB2/TSHR/WNT3/WNT4/WT1/MC4R/MEF2C/PTPN11/PDE4B/ACAN/RUNX2/RUNX1/APOC2/BTN2A2/BTN3A1/BTN3A2/CR1/FCGR2A/FOXO3/INS/KPNA2/SLC22A5",179
"GO:0008283","cell population proliferation","198/981","2100/18986",0.0942857142857143,1.82477937964177,9.35464456879312,7.54348574126005e-18,2.23890656800598e-14,1.48328751207092e-14,"HMGA2/E2F1/NFATC2/TBX5/RUNX3/CAV1/ZBTB7B/STAT3/STAT4/VEGFA/CDC25A/TFAP4/ALK/NOG/CDKN1A/RORA/PML/NFKBIA/ERBB4/GPX1/CYP7B1/LAMA5/EDNRA/GPLD1/ENPEP/PTPN22/BMPR1B/ATM/KIFAP3/CAV2/ALDH1A2/NFIA/ST6GAL1/HNF4A/BRCA2/PITX2/ETV5/RAD51B/SMAD7/MED1/TTK/SRPK2/SMAD3/ITCH/TERT/TCF7L2/WNT2B/FGF18/HIPK1/LHX9/MEN1/OVOL1/ASPM/SMAD6/CBFA2T3/IL18RAP/CSF2/FANCA/MAD1L1/IKZF3/SPRY2/MAP2K5/NR5A2/MAPK14/FTO/ESR1/DMRT1/KDM2B/TSLP/PDGFC/VAV3/FOXO1/IGF2BP1/FOXP1/CCAR1/DDAH1/CARD11/AGBL4/SSBP3/KDM8/IL33/CCDC88B/SYNE1/MLXIPL/DPT/TYK2/NDFIP1/ENPP3/CEP120/RXFP2/PKHD1/RTKN2/IL23R/KANK2/FERMT2/DIS3L2/ATAD5/TRIB1/RREB1/FNIP1/CADM4/ZNRF3/ZMIZ1/ACE/ACTB/APOE/APOH/BCL2/BMP4/BMP5/BMP6/SMARCA4/CCND1/CCND2/CCNE1/CD28/TNFSF8/CLU/CTLA4/CYP1B1/SFRP4/SCARB1/SH2B3/ACSL6/EXT1/DBH/DRD2/EDN3/ELN/ERCC1/ERCC2/ETS1/MECOM/PTK2/FES/FGF5/FGFR2/FGFR3/FGFR4/FLT3/GDF5/GHR/GNA12/GRN/NRG1/HHEX/HLX/IGF2/IL10/IL13/IL2/IL2RA/IL4/IL7R/INSR/IRF1/ITGB3/JAK2/KDR/NF1/NKX2-3/NOS2/NPR3/NTRK1/OCA2/PAX2/PRKCA/PRKCQ/PRRX1/PPARG/PTHLH/PTPN2/PTPRC/RARB/SCN5A/SOX5/SOX7/HNF1B/TGFA/TGFB1/TGFB2/TSHR/TYR/WNT3/WNT4/WT1/MEF2C/MEF2D/ACAN/RUNX2/RUNX1/BTN2A2/BTN3A1/CR1/FOXO3/FUT2/INS/INSL4",198
"GO:0030097","hemopoiesis","115/981","967/18986",0.118924508790072,2.30163172669553,9.69793483964851,2.20773538268206e-17,4.36837241053357e-14,2.89406996129831e-14,"NFATC1/RUNX3/ZBTB7B/STAT3/STAT4/VEGFA/RELB/RORA/PML/NFKBIA/LTBR/IL4R/IL18R1/PTPN22/ATM/AP3D1/KCNQ1/SNRK/PIK3R3/BRCA2/ZFPM1/IRF4/MFHAS1/SMAD7/MED1/ITCH/WNT2B/GFI1B/SH3PXD2A/HIPK1/MEN1/CCR6/CBFA2T3/ITGB8/CSF2/FANCA/IKZF3/MAPK14/THOC5/ABCB10/TBX21/IL1RL2/FOXP1/CARD11/IGSF23/PRDM16/SSBP3/SIPA1L3/IL33/CLPTM1/IREB2/MTOR/NDFIP1/NCOA6/HDAC9/HSCB/TRAF3IP2/L3MBTL3/RTKN2/IL23R/TET2/TRIB1/FNIP1/ZMIZ1/PREX1/ACE/ACTB/BCL2/BCL3/BMP4/SMARCA4/CAMK4/CD28/TNFSF8/CTLA4/SH2B3/EXT1/ERCC1/ERCC2/ETS1/MECOM/FBN1/FES/FGFR2/FLT3/NR3C1/HHEX/HLX/HOXB3/IL10/IL2/IL2RA/IL4/IL7R/IRF1/JAK2/KDR/NF1/NKX2-3/NTRK1/PRKCA/PPARG/PTPN2/PTPRC/IL1RL1/TGFB1/TGFB2/WNT4/MEF2C/PTPN11/RUNX2/RUNX1/BTN2A2/CR1/FOXO3",115
"GO:1901700","response to oxygen-containing compound","169/981","1704/18986",0.0991784037558685,1.91947112508555,9.2857958559988,2.99967522045181e-17,4.45151802715049e-14,2.94915437463368e-14,"E2F1/CAV1/ZBTB7B/ACSL1/STAT3/STAT4/NQO1/TFAP4/ALK/CDKN1A/ATP2B1/RORA/FKBP5/NFKBIA/GPX1/EDNRA/CYP7A1/LOXL1/BCL11A/GPLD1/PTPN22/ATM/KCNJ11/CAV2/ALDH1A2/KCNQ1/BCAR1/BIN1/ST6GAL1/HNF4A/HTR4/PIK3R3/ESR2/SLC2A2/GCKR/MED1/WNT9B/SMAD3/SOCS2/TCF7L2/DNMT3A/GCK/NCOA1/HCN4/ADAM15/SMAD6/NCOR2/IL18RAP/CSF2/GLDC/SH2B2/MAPK13/MAPK14/MAP2K6/IRF5/ESR1/GIPR/PLA2G6/PDE3A/FOXO1/FOXP1/MTAP/RNLS/TRAP1/EDEM2/TAB2/OSBPL7/TNIP1/PEX14/MLXIPL/MTOR/TYK2/AKR1A1/HDAC9/SLC26A5/USP8/NUCKS1/PCSK9/CRTC1/PNPLA3/IL23R/KANK2/PLEKHA1/SLC30A8/TRIB1/PDE8B/VPS13C/SDK1/EIF2B5/SLC24A4/SLC30A10/ADAMTS13/AKAP6/ACE/CHRNA3/CHRNA4/CHRNA5/CHRNB4/ACTB/APOE/BCKDHB/BCL2/GLB1/BMP6/SMARCA4/F5/CYP19A1/CYP1B1/CPS1/SCARB1/EXT1/PPP1R1B/SLC6A3/DBH/DPEP1/DRD2/EGR2/ERCC1/PTK2/FBN1/FES/FGFR2/GHR/GNAS/GRIA1/NR3C1/IDE/IGF2/IGF2R/IL10/IL13/IL2/INSR/ITGB3/JAK2/LDLR/LPL/LRP1/MET/MAPT/NOS2/NTRK1/OPRL1/PAPPA/PAX2/PCSK1/PRKCA/PRKCE/PRKCQ/PPARG/PTPN2/PTPRC/HNF1B/TGFB1/TGFB2/TSHR/TYR/UGT1A1/WNT3/WT1/MC4R/MEF2C/PTPN11/PDE4B/ADCY5/ADCY3/CRHR1/FOXO3/INS",169
"GO:0048732","gland development","70/981","450/18986",0.155555555555556,3.01057877449315,10.0754066019425,9.57214492916266e-17,1.13640504599019e-13,7.5287438853372e-14,"CAV1/ZBTB7B/MTX1/VEGFA/NOG/PML/ERBB4/GPX1/CYP7B1/LAMA5/EDNRA/ATM/ALDH1A2/BRCA2/PITX2/NPC1/MED1/BCL2L11/SMAD3/SOCS2/NCOA1/NCOR2/PHF2/MAD1L1/ESR1/CADM1/BTBD7/PCSK9/ARID5B/ASH1L/RREB1/FOXI3/ACO2/BCL2/BMP4/CCND1/CYP19A1/CYP1B1/CPS1/EXT1/SLC6A3/DRD2/FGFR2/NR3C1/NRG1/HLX/HOXB3/IGF2/IGF2R/IL10/INSR/JAK2/MET/NF1/NKX2-3/PCSK1/HNF1A/HNF1B/TGFA/TGFB1/TGFB2/TYR/UGT1A1/WNT3/WNT4/WT1/CRHR1/UGT1A10/UGT1A7/UGT1A9",70
"GO:0042592","homeostatic process","171/981","1767/18986",0.0967741935483871,1.87294071224228,8.99378086950175,2.00643266704934e-16,1.98503071860082e-13,1.31509341124497e-13,"CAV1/ZBTB7B/ACSL1/STAT3/VEGFA/NQO1/ATP6V0A1/ALK/NOVA2/ATP2B1/RORA/PML/GPX1/CYP7B1/SLC9A4/SLC9A2/IL4R/IL18R1/EDNRA/CYP7A1/GPLD1/KCNJ11/CLN3/CAV2/SREBF2/KCNQ1/HNF4A/HFE/HTR4/ZFPM1/SLC2A2/TULP1/GCKR/IRF4/NPC1/MFHAS1/MED1/BCL2L11/SMAD3/TCF7L2/GCK/WFS1/KCNH2/SH2B2/DEF8/NR5A2/MAPK14/MAP2K6/FTO/FOXA3/FOXK1/ABCG5/BAG3/PLA2G6/PDGFC/BACE2/ABCB10/FOXO1/IGF2BP2/JPH2/ACOT11/ACOT13/ABCG8/CARD11/PRDM16/TMEM106B/PLCE1/SLC9B1/MLXIPL/IREB2/NDFIP1/HDAC9/NUCKS1/CRB1/PCSK9/NAPEPLD/HSCB/CRTC1/TRAF3IP2/L3MBTL3/ENPP3/SLC4A10/PNPLA3/PKHD1/MTNR1B/RP1L1/SCGN/TMEM18/WNK1/SLC30A8/PDE8B/SLC24A4/ATP6V1G3/MIR148A/SLC30A10/NPC1L1/THADA/ANKH/AKAP6/PNPLA1/HECTD4/ACE/APOC4/ACTB/ADRB1/APOB/APOE/ATP1B2/BCL2/BMP4/BMP6/SMARCA4/CPS1/SFRP4/SCARB1/SH2B3/EBF2/CACNB2/EXT1/DBH/DRD2/EDN3/ERCC2/ETS1/FBN1/FGFR4/FLT3/GNAS/GRIA1/GRN/HK1/HOXB6/IDE/IL13/IL2/IL2RA/IL4/IL7R/INSR/ITGB3/JAK2/KDR/LDLR/LPL/NF1/NKX2-3/NOS2/NPR3/OCA2/PAX2/PRKCA/PRKCE/PPARG/PTPN2/PTPRC/RAB3D/RALY/HNF1A/TGFB1/TSHR/MC4R/MEF2C/PTPN11/PDE4B/ADCY5/APOC2/ARMS2/CALCB/FOXO3/INS/SLC22A5",171
"GO:1903131","mononuclear cell differentiation","76/981","524/18986",0.145038167938931,2.80702819213919,9.79116659237071,2.39582926968325e-16,2.0316632206914e-13,1.3459876919604e-13,"NFATC1/RUNX3/ZBTB7B/STAT3/STAT4/VEGFA/RELB/RORA/LTBR/IL4R/IL18R1/PTPN22/ATM/AP3D1/PIK3R3/ZFPM1/IRF4/SMAD7/MED1/MEN1/CCR6/ITGB8/CSF2/FANCA/IKZF3/THOC5/TBX21/IL1RL2/FOXP1/CARD11/IL33/CLPTM1/MTOR/NDFIP1/HDAC9/TRAF3IP2/L3MBTL3/IL23R/TRIB1/FNIP1/ZMIZ1/PREX1/ACTB/BCL2/BCL3/BMP4/SMARCA4/CAMK4/CD28/TNFSF8/CTLA4/FES/FLT3/NR3C1/HHEX/HLX/IL10/IL2/IL2RA/IL4/IL7R/IRF1/NKX2-3/NTRK1/PRKCA/PPARG/PTPN2/PTPRC/IL1RL1/TGFB1/WNT4/RUNX2/RUNX1/BTN2A2/CR1/FOXO3",76
"GO:0002521","leukocyte differentiation","85/981","629/18986",0.135135135135135,2.61536766123922,9.61698845395372,2.84394817255618e-16,2.11020954403669e-13,1.39802504903551e-13,"NFATC1/RUNX3/ZBTB7B/STAT3/STAT4/VEGFA/RELB/RORA/LTBR/IL4R/IL18R1/PTPN22/ATM/AP3D1/PIK3R3/ZFPM1/IRF4/SMAD7/MED1/SH3PXD2A/MEN1/CCR6/CBFA2T3/ITGB8/CSF2/FANCA/IKZF3/MAPK14/THOC5/TBX21/IL1RL2/FOXP1/CARD11/IGSF23/PRDM16/IL33/CLPTM1/IREB2/MTOR/NDFIP1/HDAC9/TRAF3IP2/L3MBTL3/IL23R/TET2/TRIB1/FNIP1/ZMIZ1/PREX1/ACTB/BCL2/BCL3/BMP4/SMARCA4/CAMK4/CD28/TNFSF8/CTLA4/FBN1/FES/FLT3/NR3C1/HHEX/HLX/IL10/IL2/IL2RA/IL4/IL7R/IRF1/NF1/NKX2-3/NTRK1/PRKCA/PPARG/PTPN2/PTPRC/IL1RL1/TGFB1/WNT4/RUNX2/RUNX1/BTN2A2/CR1/FOXO3",85
"GO:0042127","regulation of cell population proliferation","172/981","1795/18986",0.0958217270194986,1.85450694107258,8.88056285900945,4.13501770597595e-16,2.72727390029703e-13,1.80683346778084e-13,"HMGA2/E2F1/NFATC2/TBX5/RUNX3/CAV1/ZBTB7B/STAT3/STAT4/VEGFA/TFAP4/ALK/NOG/CDKN1A/PML/NFKBIA/ERBB4/GPX1/CYP7B1/LAMA5/GPLD1/PTPN22/BMPR1B/ATM/KIFAP3/CAV2/ALDH1A2/ST6GAL1/HNF4A/BRCA2/PITX2/ETV5/RAD51B/SMAD7/MED1/TTK/SRPK2/SMAD3/ITCH/TERT/TCF7L2/FGF18/HIPK1/MEN1/OVOL1/ASPM/SMAD6/CBFA2T3/CSF2/FANCA/MAD1L1/IKZF3/SPRY2/MAP2K5/NR5A2/MAPK14/FTO/ESR1/KDM2B/TSLP/PDGFC/VAV3/FOXO1/FOXP1/CCAR1/DDAH1/CARD11/AGBL4/SSBP3/IL33/CCDC88B/SYNE1/MLXIPL/DPT/TYK2/NDFIP1/ENPP3/RXFP2/PKHD1/RTKN2/IL23R/KANK2/FERMT2/DIS3L2/ATAD5/TRIB1/RREB1/FNIP1/CADM4/ZMIZ1/ACE/ACTB/APOE/APOH/BCL2/BMP4/BMP5/BMP6/SMARCA4/CCND1/CCND2/CCNE1/CD28/TNFSF8/CLU/CTLA4/CYP1B1/SFRP4/SH2B3/DBH/DRD2/EDN3/ELN/ETS1/PTK2/FES/FGF5/FGFR2/FGFR3/FGFR4/FLT3/GDF5/GHR/GNA12/GRN/NRG1/HHEX/HLX/IGF2/IL10/IL13/IL2/IL2RA/IL4/IL7R/INSR/IRF1/ITGB3/JAK2/KDR/NF1/NKX2-3/NOS2/NPR3/NTRK1/PAX2/PRKCA/PRKCQ/PRRX1/PPARG/PTHLH/PTPN2/PTPRC/RARB/SCN5A/SOX7/TGFA/TGFB1/TGFB2/TSHR/WT1/MEF2C/MEF2D/ACAN/RUNX2/RUNX1/BTN2A2/CR1/FOXO3/FUT2/INS/INSL4",172
"GO:0045893","positive regulation of DNA-templated transcription","164/981","1699/18986",0.0965273690406121,1.86816373965857,8.75350043859773,1.2049387022984e-15,7.15251613684329e-13,4.73857999135454e-13,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/ZBTB7B/STAT3/STAT4/VEGFA/TFAP4/RELB/NOG/RORA/PML/NFKBIA/ERBB4/BCL11A/BMPR1B/ATM/SREBF2/AP3D1/NFIA/DDN/HNF4A/BRCA2/PITX2/ESR2/ZFPM1/DNM2/MORF4L1/ETV5/IRF4/LMX1B/MED1/CASZ1/SMAD3/TERT/GTF2I/TCF7L2/NCOA1/GFI1B/MEN1/MLLT10/SMAD6/PHF2/ILF3/TNKS/KCNH2/IKZF3/RBCK1/MED24/MAP2K5/NR5A2/MAPK14/FOXA3/FOXK1/IRF5/ESR1/ABT1/DMRT1/NFAT5/TBX21/ZNF318/FOXO1/TAF13/WWP2/CAND2/CCAR1/PRDM16/SSBP3/AUTS2/MAMSTR/NKX6-3/SUPT3H/KANSL1/KDM8/IL33/MSL2/SKAP1/TNIP1/MLXIPL/MTOR/RUVBL1/ZNF112/NCOA6/RPS6KA4/NUCKS1/CRTC1/DOT1L/ARID5B/ASH1L/GATAD2A/HELZ2/BCAS3/MAML3/WNK1/ZBTB38/TET2/RREB1/CREB5/BPTF/GLIS3/AGO2/SATB2/PRDM11/INO80D/TOX3/ZMIZ1/KLF14/TOX2/ZGLP1/ACTB/APOE/BCL3/BMP4/BMP5/BMP6/SMARCA4/CAMK4/CD28/TNFSF8/EBF2/DRD2/EGR2/ERCC1/ETS1/MECOM/ZNF521/FGFR2/NR3C1/HHEX/HOXB3/IGF2/IL10/IL13/IL2/IL4/INSR/IRF1/JAK2/MET/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RARB/SOX7/HNF1A/HNF1B/TGFB1/TGFB2/WNT4/WT1/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/FOXO3/ZNF225/ZNF227/ZNF229",164
