"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030054","cell junction","181/1001","2389/19960",0.0757639179573043,1.51073706536243,6.11344383703893,5.04901187338182e-09,3.43332807389964e-06,2.95500063326347e-06,"FMN1/AP1G1/AP2A2/CAV1/RPH3A/SYN2/VEGFA/NQO1/ATP6V0A1/RELB/NOG/TNS1/NSF/CAPZB/ATP2B1/PTPN12/ERBB4/LAMA5/RAB5B/BCL11A/ATM/DNM1/KCNJ11/CLN3/KIFAP3/CAV2/AP3D1/MYO9A/PVR/NFIA/BCAR1/BIN1/DDN/SLC22A1/KIF1B/HTR4/VASP/SLC2A2/DNM2/TULP1/NRXN3/KCNK3/SMAD7/SRPK2/COL13A1/BSN/SH3PXD2A/WFS1/SLC22A3/ADAM15/SLC22A2/CYTH3/AP3S2/ITGB8/DNM3/TENM2/MAPK14/TRIOBP/SSPN/VTI1A/SYT6/RGS14/CADM1/IGF2BP1/SORCS3/PPFIA4/CDHR3/ABHD17C/AFAP1/LRFN2/FILIP1/ARHGAP26/TMEM163/FAIM2/CPNE4/SIPA1L3/PPA2/STX16/MAGI3/SKAP1/ARL14EP/SYNE1/RGS17/KCND3/NDFIP1/CACNA2D2/AKR1A1/RPS6KA4/RAB27B/CELF4/USP8/CRB1/DLGAP4/NAPEPLD/AP2S1/CPNE7/SLC4A10/ELMO1/PARVB/MTNR1B/ASH1L/SCGN/FERMT2/SLC29A4/GPR158/LPP/ALDH5A1/LRP4/LINGO2/PEAK1/DGKB/STK38/CADM2/DENND1A/CADPS2/SDK1/RAB3GAP1/AGO2/FCHSD2/CADM4/SYNE2/ATP6V1G3/PHACTR1/CTNNA3/CEP68/PCDH17/CCDC170/KALRN/AKAP6/CHRNA3/CHRNA4/CHRNA5/CHRNB4/ACTB/ADRB1/APOE/ATP1B2/BDNF/CAMK2B/CCND1/CLU/COL17A1/CACNB2/EXT1/SLC6A3/DBH/DCC/DPEP1/DRD2/PTK2/FES/FGFR2/FGFR3/FGFR4/FLNC/GNA12/GRIA1/NR3C1/NRG1/IGF2R/ITGB3/JAK2/KDR/LRP1/MET/MAPT/NF1/PCSK1/PRKCE/PLAUR/PTPRC/RAB3D/SCN5A/IL1RL1/RAPSN/MEF2C/PDE4B/ACAN/AOC1/CRHR1/RPL6",181
"GO:0098590","plasma membrane region","114/1001","1332/19960",0.0855855855855856,1.70658170658171,6.13352446181243,1.0815727140897e-08,3.67734722790497e-06,3.16502331070459e-06,"CAV1/RPH3A/SLC17A1/ATP2B1/ERBB4/MYO6/SLC9A4/SLC9A2/ENPEP/DNM1/KCNJ11/CLN3/KIFAP3/CAV2/KCNQ1/DDN/SLC22A1/PRKG2/MACF1/VASP/SLC2A2/DNM2/NRXN3/COL13A1/MEN1/SLC22A3/ASPM/SLC22A2/SLC22A18/DNM3/SPRY2/TENM2/ABCG5/SSPN/CADM1/SORCS3/ABCG8/LHFPL5/ANTXR1/ABHD17C/LRFN2/CEACAM20/FAIM2/SIPA1L3/KLHDC8B/SKAP1/SYNE1/KCND3/CACNA2D2/AKR1A1/TEX101/RAB27B/SLC26A5/CRB1/NAPEPLD/ENPP3/SLC38A1/SLC4A10/SLC2A9/BSND/PKHD1/RAPGEF6/FERMT2/SLC29A4/SLC17A3/GPR158/PLEKHA1/LRP4/LINGO2/DGKB/DENND1A/SLC17A4/SLC17A2/ITPK1/SPIRE2/SLC24A4/CADM4/SYNE2/PCDH17/NPC1L1/AKAP6/PIEZO1/ACE/CHRNA3/CHRNA4/CHRNA5/CHRNB4/ATP1B2/SCARB1/SLC6A3/DCC/DPEP1/DRD2/GNA12/GNAS/GRIA1/NRG1/IDE/INSR/ITGB3/JAK2/LDLR/LRP1/MET/MAPT/SCN5A/TGFA/TSHR/RAPSN/ADCY3/ABCG2/CR1/CRHR1/SLC22A5",114
"GO:0045202","synapse","134/1001","1659/19960",0.0807715491259795,1.61058953102353,5.9677943752799,1.78108946014356e-08,4.03713610965874e-06,3.47468680645551e-06,"AP1G1/AP2A2/RPH3A/SYN2/NQO1/ATP6V0A1/RELB/NOG/NSF/CAPZB/ATP2B1/ERBB4/LAMA5/RAB5B/BCL11A/ATM/DNM1/KCNJ11/CLN3/KIFAP3/AP3D1/MYO9A/BIN1/DDN/SLC22A1/KIF1B/HTR4/VASP/DNM2/TULP1/NRXN3/KCNK3/SRPK2/COL13A1/BSN/WFS1/SLC22A3/SLC22A2/AP3S2/DNM3/TENM2/MAPK14/SSPN/VTI1A/SYT6/RGS14/CADM1/IGF2BP1/SORCS3/PPFIA4/CDHR3/ABHD17C/LRFN2/FILIP1/TMEM163/FAIM2/CPNE4/SIPA1L3/PPA2/STX16/SYNE1/RGS17/KCND3/NDFIP1/CACNA2D2/AKR1A1/RPS6KA4/RAB27B/CELF4/USP8/DLGAP4/NAPEPLD/AP2S1/CPNE7/SLC4A10/ELMO1/MTNR1B/SCGN/SLC29A4/GPR158/ALDH5A1/LRP4/LINGO2/DGKB/STK38/CADM2/DENND1A/CADPS2/SDK1/RAB3GAP1/AGO2/FCHSD2/CADM4/ATP6V1G3/PHACTR1/PCDH17/KALRN/CHRNA3/CHRNA4/CHRNA5/CHRNB4/ACTB/ADRB1/APOE/ATP1B2/BDNF/CAMK2B/CLU/CACNB2/EXT1/SLC6A3/DBH/DCC/DRD2/PTK2/FGFR2/GRIA1/NR3C1/NRG1/ITGB3/JAK2/MET/MAPT/NF1/PCSK1/PRKCE/PTPRC/RAB3D/RAPSN/MEF2C/PDE4B/ACAN/CRHR1/RPL6",134
"GO:0009986","cell surface","85/1001","919/19960",0.0924918389553863,1.84429281273677,6.0212226404538,3.28866801135708e-08,5.59073561930703e-06,4.81184056398562e-06,"MFGE8/FCGRT/BTN1A1/VEGFA/TNS1/IL4R/IL18R1/ENPEP/PVR/HFE/BSN/CCR6/ADAM15/ITGB8/IL18RAP/KCNH2/ADAMTS7/PDGFC/ACKR2/IL1RL2/PPFIA4/ANTXR1/LRFN2/CEACAM20/CLPTM1/BCAM/PCSK9/ENPP3/SLC38A1/PKHD1/IL23R/TSPAN8/FERMT2/SEMA6D/LRP4/ADAMTS13/CD226/SCUBE3/COLEC10/ACE/CHRNA4/APOH/ATP1B2/C3/CD28/CLU/CTLA4/SFRP4/SCARB1/SLC6A3/DCC/FGFR2/FGFR3/GHR/GRIA1/IDE/IGF2R/IL13/IL1R1/IL2RA/IL7R/INSR/ITGB3/KDR/LDLR/LPL/MET/NCAM1/NTRK1/PLAUR/PTPRC/SCN5A/IL1RL1/TGFA/TGFB1/TSHR/WNT4/ABCG2/BTN2A1/BTN2A2/BTN3A1/BTN3A2/BTN3A3/CR1/FCGR2A",85
"GO:0005694","chromosome","154/1001","2011/19960",0.0765788165091994,1.52698619133229,5.72616497962146,4.56481151451497e-08,6.20814365974036e-06,5.34323200435857e-06,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/STAT3/STAT4/TFAP4/RELB/RORA/PML/BCL11A/SRPK1/HMX3/ATM/CUX2/KIFAP3/SREBF2/SP4/NFIA/HNF4A/NPAS1/RAD50/BRCA2/PITX2/ESR2/ZFPM1/MORF4L1/ETV5/IRF4/STAG1/RAD51B/LMX1B/SMAD7/MYT1/MED1/TTK/CASZ1/SRPK2/SMAD3/TERT/TCF7L2/DNMT3A/NCOA1/NAP1L4/LHX9/MEN1/SMAD6/NCOR2/PHF2/TNKS/FANCA/MAD1L1/NR5A2/FOXA3/FOXK1/TRIOBP/IRF5/THOC5/ESR1/DMRT1/KDM2B/NFAT5/HIF3A/ZNF276/TBX21/FOXO1/CENPW/FOXP1/SPC24/POLD3/CHD1L/SETD2/ZRANB3/LRPPRC/NKX6-3/ZBTB4/HORMAD2/SUPT3H/KANSL1/KDM8/IL33/WDR82/MSL2/TRPS1/MLXIPL/RUVBL1/NUCKS1/RTEL1/SMG6/FOXP2/PKHD1/ASH1L/GATAD2A/BCAS3/KDM4B/STK38/ZBTB38/ATAD5/TET2/BNC2/CREB5/BPTF/KDM4A/GMEB2/BEND3/SATB2/ZC3H4/RMI2/MKX/INO80D/ZMIZ1/KLF14/ANKRD31/ACTB/SMARCA4/CCND2/CUX1/EBF2/BACH2/EBF1/EGR2/ERCC1/ETS1/NR3C1/HHEX/HLX/HOXB3/HOXB6/IRF1/JAK2/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RARB/SOX5/SOX6/SOX7/HNF1A/HNF1B/TOP1/TTN/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/ETV7/FOXO3/HMGN4/PRDM7",154
"GO:0000785","chromatin","114/1001","1413/19960",0.0806794055201698,1.60875218200059,5.45448171713024,2.50498518741101e-07,2.83898321239914e-05,2.44345923543951e-05,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/STAT3/STAT4/TFAP4/RELB/RORA/BCL11A/SRPK1/HMX3/CUX2/SREBF2/SP4/NFIA/HNF4A/NPAS1/PITX2/ESR2/ZFPM1/MORF4L1/ETV5/IRF4/STAG1/LMX1B/SMAD7/MYT1/MED1/CASZ1/SRPK2/SMAD3/TCF7L2/DNMT3A/NCOA1/NAP1L4/LHX9/MEN1/SMAD6/NCOR2/FANCA/NR5A2/FOXA3/FOXK1/IRF5/ESR1/DMRT1/NFAT5/HIF3A/TBX21/FOXO1/FOXP1/NKX6-3/SUPT3H/KANSL1/WDR82/MSL2/TRPS1/MLXIPL/RUVBL1/NUCKS1/FOXP2/GATAD2A/BCAS3/KDM4B/BNC2/CREB5/BPTF/KDM4A/GMEB2/BEND3/SATB2/MKX/INO80D/ZMIZ1/KLF14/ANKRD31/ACTB/SMARCA4/CCND2/CUX1/EBF2/BACH2/EBF1/EGR2/ETS1/NR3C1/HHEX/HLX/HOXB3/HOXB6/IRF1/JAK2/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RARB/SOX5/SOX6/SOX7/HNF1A/HNF1B/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/ETV7/FOXO3/HMGN4",114
"GO:0009897","external side of plasma membrane","45/1001","407/19960",0.110565110565111,2.20467493194766,5.64207808283358,5.8652691508701e-07,5.69769003227381e-05,4.90389420734402e-05,"MFGE8/FCGRT/BTN1A1/IL4R/ENPEP/HFE/CCR6/ACKR2/ANTXR1/CLPTM1/BCAM/PCSK9/ENPP3/SLC38A1/PKHD1/IL23R/CD226/COLEC10/ACE/CHRNA4/ATP1B2/CD28/CTLA4/GHR/GRIA1/IDE/IL13/IL1R1/IL2RA/IL7R/INSR/ITGB3/KDR/LDLR/NCAM1/PLAUR/PTPRC/IL1RL1/ABCG2/BTN2A1/BTN2A2/BTN3A1/BTN3A2/BTN3A3/FCGR2A",45
"GO:0032994","protein-lipid complex","11/1001","40/19960",0.275,5.48351648351648,6.52203032717125,2.88678282319273e-06,0.000245376539971382,0.000211190953907258,"BIN1/APOC4/APOB/APOC1/APOE/APOH/CLU/LDLR/LPL/APOC2/LPA",11
"GO:0042995","cell projection","168/1001","2437/19960",0.0689372178908494,1.37461225684451,4.53507247062862,8.49525826097057e-06,0.000599876690131754,0.000516302538255813,"CAV1/RPH3A/RELN/NQO1/INPP5B/NSF/CAPZB/ATP2B1/PTPN12/MYO6/BMPR1B/DNM1/KCNJ11/CLN3/KIFAP3/KIF3A/DNAH2/AP3D1/MYO9A/TUBB3/KIF3C/KCNQ1/CEP250/BCAR1/BIN1/DDN/KIF1B/ADCY9/MACF1/HTR4/VASP/DNM2/TULP1/NRXN3/MYOC/STMN3/BSN/KLC3/HCN4/SH3PXD2A/WFS1/CCR6/ADAM15/CYTH3/AP3S2/DNM3/MARK3/SPRY2/SH2B2/TENM2/SUFU/TRIOBP/EXOC6/VTI1A/PLA2G6/RGS14/DNAH10/CADM1/IGF2BP1/POC5/LHFPL5/CCDC34/CDHR3/ANTXR1/ABHD17C/AGBL4/CEACAM20/AUTS2/CDC42SE2/TTC29/MARK4/PLCE1/TTLL11/SLC9B1/CCDC146/CEP128/SYNE1/RGS17/RSPH6A/MTOR/KCND3/NDFIP1/PMFBP1/RAB27B/RILPL2/USP8/CRB1/NAPEPLD/SLC38A1/PLEKHH2/SLC4A10/PARVB/KCNN3/PKHD1/RP1L1/SCGN/FERMT2/SLC26A8/SPG7/CPNE5/SLC17A3/GPR158/PLEKHA1/LRP4/CADM2/DENND1A/SLC17A4/ORAI2/AGBL2/FBXL13/BPTF/ANKS1A/AGO2/SLC24A4/FCHSD2/NME7/SYNE2/DCDC2/CTNNA3/CCDC61/CCDC170/CEACAM16/TMEM232/LRRC43/PREX1/PIEZO1/CCDC63/CCDC68/ACE/CHRNA3/CHRNA4/CHRNA5/CHRNB4/ACTB/APOE/ATP1B2/BDNF/CAMK2B/CLU/NRSN1/SLC6A3/DCC/DPEP1/DRD2/PTK2/GNA12/GNAS/GRIA1/GRP/INSR/ITGB3/MAPT/NF1/NTRK1/OPRL1/PCSK1/PRKCA/PLAUR/PTPRC/TCP11/TGFB1/TGFB2/PDE4B/ADCY5/ADCY3/ABCG2/CRHR1/SLC22A5",168
"GO:0034358","plasma lipoprotein particle","10/1001","37/19960",0.27027027027027,5.38920538920539,6.14027911224499,9.70388763448426e-06,0.000599876690131754,0.000516302538255813,"APOC4/APOB/APOC1/APOE/APOH/CLU/LDLR/LPL/APOC2/LPA",10
