"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019899","enzyme binding","182/981","2109/18737",0.0862968231389284,1.6482605251316,7.4279373659941,3.15550698163016e-12,3.47105767979318e-09,2.77020297124164e-09,"TRAF1/AP1G1/AP2A2/NFATC2/NFATC1/CDC27/CAV1/ZBTB7B/RPH3A/STAT3/CDC25A/HERC2/TFAP4/ATP6V0A1/RELB/CDKN1A/NSF/PML/NFKBIA/LTBR/BCL11A/DMBT1/PTPN22/DNM1/KIFAP3/CAV2/KIF3A/TRAF3/KCNQ1/BCAR1/BIN1/PRKG2/BRCA2/ESR2/FAF1/DNM2/MFHAS1/ANAPC4/SMAD7/MED1/TNPO3/BCL2L11/SMAD3/ITCH/MYOC/TCF7L2/FHIT/SH3PXD2A/HINT1/WFS1/ATP9A/CRADD/PITPNM2/SMAD6/SLC22A18/NCOR2/DNM3/KCNH2/IKZF3/SPRY2/SH2B2/SUFU/MAPK14/MAP2K6/TSKS/TRIOBP/IRF5/TBL2/ESR1/RABGAP1L/RGS14/FOXO1/NEK6/CDK5RAP1/UBE2G1/ANP32B/TRAP1/CEACAM20/TMEM106B/LRPPRC/CDC42SE2/PLCE1/MTMR3/ZBTB4/KANSL1/SKAP1/TNIP1/SYNE1/GMNN/RUVBL1/XPO7/NCOA6/HDAC9/CBLC/RILPL2/NOP58/DGKD/RTEL1/TTC28/SMG6/FAM83F/RAPGEF6/FERMT2/BCAS3/DOCK3/WNK1/LRP4/STK38/RADIL/TRIB1/FNIP1/RAB3GAP1/KDM4A/AGO2/DENND1B/CADM4/ATP6V1G3/CEP68/SATB2/NPC1L1/CD226/PREX1/AKAP6/PHLDB3/ACE/ACTB/APOB/APOE/ATP1B2/BCL2/BCL3/SMARCA4/CCND1/CCND2/CCNE1/CD28/CKB/CLU/CYP1A2/SH2B3/ACSL6/SLC6A3/EGR2/PTK2/GHR/GNA12/GRIA1/NR3C1/NRG1/IGF2R/IL1R1/ITGB3/JAK2/LDLR/MET/MAPT/NTRK1/PRKCA/PRKCE/PLAUR/PPARG/PTPN2/PTPRC/SCN5A/TGFB1/TTN/UGT1A1/MC4R/MEF2C/PTPN11/MEF2D/ADCY5/ZFHX3/APOC2/FOXO3/INS/KPNA2/MST1/UGT1A10/UGT1A6/UGT1A7/UGT1A9",182
"GO:0008134","transcription factor binding","69/981","592/18737",0.116554054054054,2.22617055128523,7.12579990456013,3.44802259010451e-10,1.89641242455748e-07,1.51350044218272e-07,"HMGA2/E2F1/NFATC1/TBX5/RUNX3/STAT3/RORA/NFKBIA/BCL11A/NFIA/HNF4A/PITX2/FAF1/ZFPM1/MED1/SMAD3/TERT/GTF2I/TCF7L2/DNMT3A/NCOA1/GFI1B/WFS1/NCOR2/MED24/NR5A2/MAPK14/ESR1/NEK6/TAF13/FOXP1/WWP2/CAND2/PRDM16/GMNN/MLXIPL/MTOR/RUVBL1/TACC2/NCOA6/HDAC9/NOP58/NUCKS1/CRTC1/DOT1L/OASL/BCAS3/TRIB1/ACTB/BCL2/BCL3/SMARCA4/EGR2/ERCC1/ETS1/FLT3/NR3C1/HHEX/PAX2/PRRX1/PPARG/PTPN2/RARB/HNF1B/MEF2C/MEF2D/RUNX2/RUNX1/FOXO3",69
"GO:0140110","transcription regulator activity","163/981","1980/18737",0.0823232323232323,1.57236534560694,6.3300649449539,1.95095615936819e-09,7.15350591768338e-07,5.70911381373008e-07,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/ZBTB7B/STAT3/STAT4/TFAP4/RELB/RORA/PML/BCL11A/AFF3/HMX3/CUX2/NAB1/SREBF2/SP4/NFIA/DDN/HNF4A/NPAS1/PITX2/ESR2/ZFPM1/ETV5/IRF4/LMX1B/SMAD7/MYT1/MED1/CASZ1/SMAD3/GTF2I/TCF7L2/DNMT3A/NCOA1/GFI1B/LHX9/OVOL1/NCOR2/CBFA2T3/PHF2/HIVEP2/IKZF3/RBCK1/MED24/SUFU/NR5A2/FOXA3/FOXK1/IRF5/ESR1/ABT1/DMRT1/KDM2B/NFAT5/HIF3A/PDE3A/GTF2IRD1/TBX21/FOXO1/JPH2/FOXP1/CCAR1/PRDM16/SSBP3/MAMSTR/NKX6-3/ZNF184/ZBTB4/ZNF180/SUPT3H/GMNN/TRPS1/PEX14/MLXIPL/RUVBL1/ZNF112/NCOA6/HDAC9/NUCKS1/JAZF1/CRTC1/DOT1L/FOXP2/ARID5B/HELZ2/MAML3/IRF2BP1/ZNF652/ZNF322/ZBTB38/RREB1/CREB5/GLIS3/ZBTB41/MYPOP/GMEB2/SATB2/ZNF469/MKX/TOX3/ZMIZ1/FOXI3/KLF14/TOX2/ZGLP1/BCL3/SMARCA4/CCND1/CUX1/EBF2/BACH2/EBF1/EGR2/ETS1/MECOM/ZNF521/NR3C1/NRG1/HHEX/HLX/HOXB3/HOXB6/IRF1/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RALY/RARB/SOX5/SOX6/SOX7/HNF1A/HNF1B/WNT4/WT1/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/ETV7/FOXO3/ZNF101/ZNF155/ZNF19/ZNF221/ZNF225/ZNF227/ZNF229/ZNF233/ZNF235/ZNF391/ZNF442/ZNF682/ZNF799/ZNF90",163
"GO:0019901","protein kinase binding","75/981","720/18737",0.104166666666667,1.98957271491675,6.36462903186546,9.09193507626643e-09,2.31215285977118e-06,1.84529711487958e-06,"AP2A2/NFATC1/CAV1/STAT3/CDC25A/RELB/CDKN1A/NSF/BCL11A/DNM1/CAV2/TRAF3/KCNQ1/BCAR1/PRKG2/FAF1/BCL2L11/SMAD3/MYOC/TCF7L2/HINT1/PITPNM2/DNM3/SPRY2/SH2B2/SUFU/MAPK14/MAP2K6/TSKS/IRF5/TBL2/ESR1/RGS14/NEK6/CDK5RAP1/TRAP1/CEACAM20/ZBTB4/SKAP1/TNIP1/HDAC9/CBLC/FAM83F/FERMT2/WNK1/LRP4/STK38/TRIB1/CADM4/CEP68/CD226/ACE/ACTB/CCND1/CCND2/CCNE1/CD28/SH2B3/PTK2/GHR/GRIA1/NR3C1/NRG1/ITGB3/JAK2/MAPT/PTPN2/PTPRC/SCN5A/TTN/PTPN11/FOXO3/MST1/UGT1A10/UGT1A7",75
"GO:0005102","signaling receptor binding","132/981","1547/18737",0.0853264382676147,1.62972627300744,6.0779819485167,1.05097857262326e-08,2.31215285977118e-06,1.84529711487958e-06,"TRAF1/CAV1/VAV2/MFGE8/RELN/STAT3/BTN1A1/VEGFA/NSF/ERBB4/LAMA5/CAV2/TUBB3/TRAF3/HNF4A/HFE/ESR2/NRXN3/SMAD7/MED1/WNT9B/SMAD3/SOCS2/ITCH/MYOC/WNT2B/ATXN2/FGF18/ADAM15/PITPNM2/SMAD6/NCOR2/ITGB8/CSF2/EFEMP1/TLR1/DNM3/SH2B2/TENM2/TSLP/PDGFC/VAV3/CADM1/TRAP1/ARAP1/RSPO3/IL33/SYNE1/CLPTM1/PEX14/TYK2/CBLC/ERAP1/PCSK9/TRAF3IP2/TNFSF15/IL23R/TSPAN8/FERMT2/SEMA6D/LRP4/ANKS1A/CADM4/ADAMTS13/CD226/ZNRF3/SCUBE3/COLEC10/ACE/ADRB1/APOB/APOE/BDNF/BMP4/BMP5/BMP6/C3/TNFSF8/CLU/SH2B3/SLC6A3/DRD2/EDN3/PTK2/FBN1/FES/FGF5/GDF5/GNA12/GNAS/GRIA1/GRN/GRP/NRG1/IGF2/IL10/IL13/IL1R1/IL2/IL4/INSR/ITGB3/JAK2/KDR/LPL/LRP1/NTRK1/PRKCA/PLAUR/PTHLH/PTPN2/PTPRC/TGFA/TGFB1/TGFB2/USP4/WNT3/WNT4/RAPSN/PTPN11/BTN2A1/BTN2A2/BTN3A1/BTN3A2/BTN3A3/CALCB/IGFL4/INS/INS-IGF2/INSL4/LPA/MST1",132
"GO:0019900","kinase binding","79/981","800/18737",0.09875,1.88611493374108,6.02088759841274,3.76707229598654e-08,6.90629920930865e-06,5.51182156991715e-06,"AP2A2/NFATC1/CAV1/STAT3/CDC25A/RELB/CDKN1A/NSF/BCL11A/PTPN22/DNM1/CAV2/TRAF3/KCNQ1/BCAR1/PRKG2/FAF1/BCL2L11/SMAD3/MYOC/TCF7L2/HINT1/PITPNM2/DNM3/SPRY2/SH2B2/SUFU/MAPK14/MAP2K6/TSKS/IRF5/TBL2/ESR1/RGS14/NEK6/CDK5RAP1/TRAP1/CEACAM20/ZBTB4/SKAP1/TNIP1/HDAC9/CBLC/DGKD/TTC28/FAM83F/FERMT2/WNK1/LRP4/STK38/TRIB1/CADM4/CEP68/CD226/ACE/ACTB/CCND1/CCND2/CCNE1/CD28/SH2B3/PTK2/GHR/GRIA1/NR3C1/NRG1/ITGB3/JAK2/MAPT/NTRK1/PTPN2/PTPRC/SCN5A/TTN/PTPN11/FOXO3/MST1/UGT1A10/UGT1A7",79
"GO:0043565","sequence-specific DNA binding","138/981","1681/18737",0.082093991671624,1.56798687252928,5.73698792393726,5.06068846007946e-08,7.63097318617256e-06,6.09017381556738e-06,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/ZBTB7B/STAT3/STAT4/TFAP4/RELB/RORA/ERBB4/BCL11A/HMX3/CUX2/SREBF2/SP4/NFIA/DDN/HNF4A/NPAS1/RAD50/PITX2/ESR2/ETV5/IRF4/LMX1B/MED1/CASZ1/SMAD3/TERT/TCF7L2/MEG3/DNMT3A/NCOA1/GFI1B/LHX9/MEN1/OVOL1/SMAD6/HIVEP2/KCNH2/IKZF3/NR5A2/FOXA3/FOXK1/IRF5/ESR1/DMRT1/KDM2B/NFAT5/HIF3A/GTF2IRD1/ZNF276/TBX21/FOXO1/JPH2/FOXP1/CCAR1/PRDM16/NKX6-3/ZNF184/ZBTB4/ZNF180/TRPS1/MLXIPL/MTOR/ZNF112/SMG6/FOXP2/ARID5B/GATAD2A/ZNF322/ZBTB38/RREB1/BNC2/CREB5/BPTF/GLIS3/ZBTB41/MYPOP/AGO2/GMEB2/BEND3/SATB2/MKX/FOXI3/KLF14/ZGLP1/BCL2/SMARCA4/CUX1/EBF2/BACH2/EBF1/EGR2/ETS1/MECOM/ZNF521/NR3C1/HHEX/HLX/HOXB3/HOXB6/IRF1/MAPT/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RARB/SOX5/SOX6/SOX7/HNF1A/HNF1B/TOP1/WT1/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/ETV7/FOXO3/ZNF101/ZNF19/ZNF221/ZNF225/ZNF227/ZNF229/ZNF391/ZNF442/ZNF682/ZNF799/ZNF90",138
"GO:0003690","double-stranded DNA binding","137/981","1671/18737",0.0819868342309994,1.56594017633663,5.69761703043153,6.16802427043382e-08,7.63097318617256e-06,6.09017381556738e-06,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/ZBTB7B/STAT3/STAT4/TFAP4/RELB/RORA/ERBB4/BCL11A/AFF3/HMX3/CUX2/SREBF2/SP4/NFIA/DDN/HNF4A/NPAS1/RAD50/PITX2/ESR2/ETV5/IRF4/RAD51B/LMX1B/MED1/CASZ1/SMAD3/TCF7L2/MEG3/DNMT3A/NCOA1/GFI1B/LHX9/MEN1/OVOL1/SMAD6/HIVEP2/KCNH2/IKZF3/NR5A2/FOXA3/FOXK1/IRF5/ESR1/DMRT1/KDM2B/NFAT5/HIF3A/RBMS1/GTF2IRD1/ZNF276/TBX21/FOXO1/JPH2/FOXP1/CCAR1/PRDM16/NKX6-3/ZNF184/ZBTB4/ZNF180/MSL2/TRPS1/MLXIPL/MTOR/ZNF112/NUCKS1/FOXP2/ARID5B/ZNF322/ZBTB38/RREB1/BNC2/CREB5/BPTF/GLIS3/ZBTB41/MYPOP/AGO2/GMEB2/BEND3/SATB2/MKX/FOXI3/KLF14/SMARCA4/CUX1/EBF2/BACH2/EBF1/EGR2/ETS1/MECOM/ZNF521/NR3C1/HHEX/HOXB3/HOXB6/IRF1/MAPT/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RARB/SOX5/SOX6/SOX7/HNF1A/HNF1B/TOP1/WT1/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/ETV7/FOXO3/ZNF101/ZNF19/ZNF221/ZNF225/ZNF227/ZNF229/ZNF391/ZNF442/ZNF682/ZNF799/ZNF90",137
"GO:0140297","DNA-binding transcription factor binding","55/981","488/18737",0.112704918032787,2.15265244564763,6.06441796856123,7.01119528404026e-08,7.63097318617256e-06,6.09017381556738e-06,"HMGA2/E2F1/NFATC1/TBX5/STAT3/NFKBIA/BCL11A/NFIA/HNF4A/PITX2/FAF1/ZFPM1/MED1/SMAD3/GTF2I/TCF7L2/DNMT3A/NCOA1/GFI1B/WFS1/NCOR2/MED24/MAPK14/ESR1/NEK6/FOXP1/WWP2/PRDM16/GMNN/MLXIPL/TACC2/NCOA6/HDAC9/NUCKS1/CRTC1/DOT1L/OASL/BCAS3/TRIB1/ACTB/BCL2/BCL3/SMARCA4/EGR2/ETS1/FLT3/HHEX/PRRX1/PPARG/PTPN2/RARB/MEF2C/MEF2D/RUNX2/RUNX1",55
"GO:0000976","transcription cis-regulatory region binding","126/981","1506/18737",0.0836653386454183,1.59799943955067,5.68798439268243,7.3508612293121e-08,7.63097318617256e-06,6.09017381556738e-06,"HMGA2/E2F1/NFATC2/NFATC1/TBX5/RUNX3/ZBTB7B/STAT3/STAT4/TFAP4/RELB/RORA/ERBB4/BCL11A/HMX3/CUX2/SREBF2/SP4/NFIA/DDN/HNF4A/NPAS1/PITX2/ESR2/ETV5/IRF4/LMX1B/MED1/CASZ1/SMAD3/TCF7L2/DNMT3A/NCOA1/GFI1B/LHX9/MEN1/OVOL1/SMAD6/HIVEP2/KCNH2/IKZF3/NR5A2/FOXA3/FOXK1/IRF5/ESR1/DMRT1/KDM2B/NFAT5/HIF3A/GTF2IRD1/TBX21/FOXO1/JPH2/FOXP1/CCAR1/PRDM16/NKX6-3/ZNF184/ZBTB4/ZNF180/TRPS1/MLXIPL/MTOR/ZNF112/FOXP2/ARID5B/ZNF322/ZBTB38/RREB1/CREB5/BPTF/GLIS3/ZBTB41/MYPOP/AGO2/GMEB2/SATB2/MKX/FOXI3/KLF14/SMARCA4/CUX1/EBF2/BACH2/EBF1/EGR2/ETS1/MECOM/ZNF521/NR3C1/HHEX/HOXB3/HOXB6/IRF1/NKX2-3/PAX2/PAX9/PRRX1/PPARG/RARB/SOX5/SOX6/SOX7/HNF1A/HNF1B/TOP1/WT1/MEF2C/MEF2D/RUNX2/RUNX1/ZFHX3/ETV7/FOXO3/ZNF101/ZNF19/ZNF221/ZNF225/ZNF227/ZNF229/ZNF391/ZNF442/ZNF682/ZNF799/ZNF90",126
