gene_name	DRC150
7SK	0.00189108
A1CF	0.00178619
A2M	0.00170368
A2ML1	0.00167915
A2ML1-AS1	0.00160085
A4GALT	0.00154975
AACS	0.00140482
AACSP1	0.00150396
AADAC	0.00143936
AADACL2	0.00148469
AADACL3	0.0011197
AADACL4	0.00120015
AADAT	0.00244785
AAK1	0.00165699
AARD	0.00243706
AARS	0.00253723
AASDH	0.00226787
AATF	0.00109003
AATK	0.00160776
AATK-AS1	0.00160879
AB015752.3	0.00173793
ABAT	0.00153559
ABCA1	0.00223764
ABCA10	0.000805517
ABCA12	0.00178018
ABCA13	0.0020354
ABCA17P	0.00166536
ABCA2	0.00115651
ABCA3	0.00167177
ABCA4	0.00183287
ABCA5	0.000852581
ABCA6	0.000804889
ABCA8	0.0011496
ABCA9	0.000807353
ABCB1	0.00134335
ABCB11	0.00167901
ABCB4	0.00131464
ABCB5	0.00143853
ABCB8	0.00222493
ABCB9	0.00363985
ABCC1	0.00139307
ABCC11	0.00111162
ABCC12	0.00109631
ABCC13	0.00162193
ABCC2	0.00174168
ABCC3	0.0015877
ABCC4	0.00203911
ABCC5	0.0026799
ABCC6	0.00103631
ABCC8	0.0012398
ABCC9	0.0030175
ABCD1P4	0.00149721
ABCD4	0.00264775
ABCF2	0.00174076
ABCF2P1	0.00180055
ABCG1	0.00172226
ABCG2	0.00315424
ABCG5	0.00198056
ABCG8	0.00193177
ABHD10	0.00218963
ABHD12	0.00225899
ABHD12B	0.00114716
ABHD13	0.00145929
ABHD15	0.00207676
ABHD16B	0.0027516
ABHD17A	0.00182598
ABHD17AP5	0.00251025
ABHD17AP6	0.00150742
ABHD17B	0.000940028
ABHD17C	0.00139046
ABHD2	0.00149488
ABHD3	0.00183465
ABHD4	0.0015222
ABHD5	0.00131753
ABHD6	0.00235814
ABI1	0.00226044
ABI2	0.00163203
ABI3	0.00196326
ABI3BP	0.0021919
ABL1	0.00131205
ABL2	0.00168924
ABLIM1	0.00219191
ABLIM2	0.00163015
ABLIM3	0.00097037
ABO	0.00305319
ABR	0.0021221
ABRA	0.00207099
ABRACL	0.00335029
ABTB2	0.00134372
AC000067.1	0.000991543
AC000077.2	0.00107987
AC000099.1	0.00172869
AC000111.6	0.00176086
AC000370.2	0.00162954
AC002064.5	0.00259909
AC002066.1	0.00106983
AC002069.5	0.00204826
AC002069.6	0.00176438
AC002115.5	0.00149985
AC002116.7	0.00204151
AC002127.4	0.0022562
AC002331.1	0.00190644
AC002383.2	0.00196533
AC002386.1	0.00163927
AC002401.1	0.00116687
AC002451.3	0.00170621
AC002454.1	0.00133774
AC002463.3	0.00176477
AC002472.11	0.00185595
AC002472.13	0.00193914
AC002480.2	0.00227697
AC002480.5	0.00216924
AC002485.1	0.00224317
AC002486.2	0.00155108
AC002511.1	0.00127652
AC002539.1	0.00118627
AC002539.2	0.00113185
AC002985.3	0.00125627
AC003002.4	0.00229815
AC003005.4	0.00206501
AC003006.7	0.00199591
AC003043.1	0.00263115
AC003051.1	0.00111417
AC003075.4	0.00147369
AC003084.2	0.0021785
AC003088.1	0.00219292
AC003090.1	0.00276837
AC003092.1	0.00108752
AC003092.2	0.00106301
AC003101.1	0.00214729
AC003102.3	0.00270011
AC003664.1	0.00150549
AC003958.2	0.001824
AC003968.1	0.00163924
AC003985.1	0.00165091
AC003986.5	0.00109163
AC003988.1	0.00120979
AC003991.3	0.00154215
AC004006.2	0.00119581
AC004009.3	0.00253798
AC004014.3	0.00175887
AC004014.4	0.00173371
AC004041.2	0.00313762
AC004053.1	0.00236567
AC004062.2	0.00182934
AC004063.1	0.0023288
AC004066.3	0.00153328
AC004076.9	0.00229881
AC004125.3	0.00137712
AC004129.7	0.0019556
AC004158.2	0.00258564
AC004158.3	0.00258564
AC004159.1	0.00107709
AC004381.6	0.001803
AC004458.1	0.00149857
AC004463.6	0.00118984
AC004485.3	0.00209468
AC004510.3	0.00150604
AC004520.1	0.00282161
AC004528.1	0.00193868
AC004535.2	0.00201394
AC004538.3	0.00169491
AC004540.5	0.00277323
AC004543.2	0.001116
AC004562.1	0.00110903
AC004593.3	0.00145657
AC004609.1	0.00139294
AC004702.2	0.00145202
AC004744.3	0.00101923
AC004745.1	0.00120058
AC004824.2	0.00147739
AC004840.9	0.00185346
AC004854.4	0.000982517
AC004854.5	0.00109518
AC004862.6	0.001179
AC004866.1	0.00106865
AC004866.3	0.00101331
AC004869.2	0.00118632
AC004869.3	0.00112448
AC004870.3	0.00124066
AC004870.4	0.00114619
AC004875.1	0.00155261
AC004899.3	0.00217794
AC004901.1	0.00116612
AC004906.3	0.00137053
AC004911.2	0.00111353
AC004920.3	0.00133495
AC004941.3	0.00125622
AC004941.5	0.00123169
AC004947.2	0.00277886
AC004967.7	0.00168666
AC004980.7	0.00189389
AC004987.9	0.00172459
AC005008.2	0.00102757
AC005013.1	0.00167228
AC005013.5	0.00145512
AC005014.5	0.00172887
AC005017.2	0.00149183
AC005019.2	0.00152209
AC005019.3	0.00154445
AC005022.1	0.00202254
AC005027.3	0.000994301
AC005029.1	0.00175444
AC005034.2	0.00171328
AC005040.3	0.0016726
AC005042.4	0.00170975
AC005042.5	0.00163676
AC005062.2	0.00152357
AC005083.1	0.00172224
AC005094.2	0.00218782
AC005150.1	0.00192602
AC005152.2	0.00122118
AC005152.3	0.00124096
AC005154.6	0.00164242
AC005176.3	0.00186539
AC005178.1	0.00256611
AC005195.1	0.00266735
AC005229.5	0.00111375
AC005235.1	0.00163112
AC005237.4	0.0014354
AC005255.5	0.00150867
AC005256.1	0.00104203
AC005264.2	0.00082357
AC005276.1	0.00157326
AC005281.1	0.00203377
AC005281.2	0.00197001
AC005284.1	0.00115088
AC005301.8	0.00126886
AC005307.1	0.0021182
AC005307.3	0.00213947
AC005324.6	0.00245662
AC005355.1	0.00175879
AC005355.2	0.00186284
AC005358.1	0.00159759
AC005358.3	0.00119347
AC005394.1	0.00213947
AC005487.2	0.00205263
AC005523.2	0.00145947
