gene_name	fg_pleio_degree_finemap	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide	fg_pleio_degree
TTLL10-AS1	1.0			1.0	
SDF4	1.0				
ACAP3	1.0			1.0	3.0
DVL1	2.0			1.0	
MXRA8	1.0			1.0	2.0
ANKRD65	1.0				
ATAD3C	1.0				
NADK	1.0				1.0
GNB1	1.0	1.0		1.0	
PRKCZ	3.0			3.0	2.0
SKI	2.0	5.0	1.0	5.0	1.0
MORN1	1.0			3.0	
TNFRSF14	1.0				1.0
MMEL1	1.0				3.0
PRDM16	5.0	4.0	2.0	4.0	13.0
TP73	1.0			5.0	1.0
RPL22	1.0			1.0	1.0
PLEKHG5	1.0			1.0	1.0
KLHL21	1.0			2.0	
PHF13	1.0	1.0		1.0	2.0
VAMP3	1.0			3.0	
UTS2	1.0	1.0	1.0	2.0	
PARK7	1.0				1.0
RERE	2.0	4.0	2.0	6.0	1.0
SPSB1	7.0	2.0		2.0	6.0
TMEM201	1.0			2.0	
CLSTN1	1.0				
UBE4B	1.0	1.0		3.0	1.0
PGD	1.0	1.0		2.0	1.0
PEX14	1.0			1.0	8.0
CASZ1	11.0	1.0		1.0	17.0
TARDBP	1.0			2.0	
MTOR	1.0	4.0	1.0	4.0	3.0
ANGPTL7	1.0	1.0		4.0	
MTHFR	3.0	2.0		3.0	5.0
CLCN6	4.0	2.0		3.0	4.0
NPPA	1.0			3.0	
TNFRSF1B	1.0				1.0
EFHD2	1.0				
CTRC	2.0			1.0	
CELA2A	1.0			1.0	
ZBTB17	1.0	1.0	1.0	1.0	1.0
TBC1D3P6	1.0			2.0	
CLCNKA	2.0			2.0	3.0
ATP13A2	1.0	1.0		3.0	2.0
SDHB	1.0			3.0	
PADI6	2.0				4.0
RCC2	1.0				5.0
AC004824.1	1.0				
CAPZB	5.0	1.0		1.0	8.0
MINOS1	7.0			1.0	2.0
NBL1	2.0			1.0	
RNF186	1.0				3.0
OTUD3	1.0				4.0
EIF4G3	1.0	1.0	1.0	1.0	1.0
ECE1	2.0	3.0	2.0	4.0	
ALPL	1.0	2.0	2.0	3.0	1.0
RAP1GAP	2.0	3.0	3.0	3.0	
USP48	1.0	3.0	3.0	3.0	
LDLRAD2	1.0	1.0	1.0	1.0	
HSPG2	3.0	1.0	1.0	1.0	1.0
CELA3B	1.0	1.0	1.0	2.0	1.0
CDC42	1.0			2.0	4.0
WNT4	5.0	4.0	3.0	4.0	5.0
EPHB2	1.0				
LUZP1	1.0	1.0		1.0	
IFNLR1	1.0				
STPG1	1.0				
RCAN3	1.0				
CLIC4	1.0	1.0		3.0	2.0
RUNX3	7.0	3.0	2.0	3.0	3.0
MIR4425	1.0			1.0	5.0
RHCE	2.0	6.0	2.0	7.0	1.0
CEP85	1.0	1.0		2.0	2.0
SH3BGRL3	1.0			2.0	
RN7SL679P	1.0			1.0	
ARID1A	3.0	1.0	3.0	4.0	2.0
ZDHHC18	1.0	1.0	1.0	4.0	
GPATCH3	2.0			1.0	
SLC9A1	2.0				
CD164L2	1.0				
WASF2	1.0				2.0
FAM76A	1.0				
RAB42	1.0				
PUM1	1.0				
PTP4A2	1.0	1.0		1.0	1.0
YARS	1.0				
ZNF362	1.0			1.0	1.0
COL8A2	1.0				
MAP7D1	1.0				
SH3D21	1.0				
SNIP1	2.0				2.0
INPP5B	5.0			1.0	7.0
SF3A3	1.0	1.0		1.0	
RRAGC	1.0			1.0	
MACF1	1.0	8.0	9.0	9.0	3.0
PPIEL	1.0	2.0	2.0	10.0	
HEYL	1.0	2.0		5.0	
BMP8B	1.0				
TRIT1	2.0			1.0	
COL9A2	1.0			1.0	
SMAP2	1.0	1.0	1.0	1.0	
KCNQ4	1.0				1.0
SCMH1	1.0	2.0	1.0	2.0	1.0
EDN2	1.0				1.0
HIVEP3	1.0	1.0	1.0	1.0	1.0
RNU6-880P	1.0			3.0	1.0
SZT2	1.0			1.0	1.0
PTPRF	1.0	1.0	1.0	1.0	1.0
KDM4A	1.0				2.0
RNF220	1.0	1.0		1.0	
TESK2	1.0	2.0		4.0	
TMEM69	1.0			2.0	
MAST2	4.0	5.0	2.0	6.0	
TSPAN1	1.0			2.0	
CYP4X1	1.0				
AGBL4	2.0	2.0		2.0	3.0
DMRTA2	3.0			2.0	1.0
FAF1	7.0	3.0	2.0	3.0	9.0
CDKN2C	3.0	2.0	1.0	3.0	1.0
C1orf185	1.0				
TTC39A	1.0				3.0
EPS15	1.0				
OSBPL9	1.0				2.0
ZFYVE9	1.0				2.0
LRP8	1.0				
SLC25A3P1	1.0				
DIO1	1.0				3.0
HSPB11	1.0				
MROH7	1.0				5.0
BSND	1.0	1.0	4.0	1.0	8.0
PCSK9	5.0	1.0	4.0	1.0	17.0
USP24	4.0	1.0	1.0	1.0	2.0
AC119674.1	3.0				12.0
RPL21P23	1.0				
PRKAA2	1.0				
DAB1	2.0				1.0
NFIA	8.0	1.0	1.0	1.0	6.0
USP1	1.0	5.0	5.0	5.0	1.0
DOCK7	1.0	5.0	7.0	6.0	3.0
CACHD1	1.0				
RAVER2	3.0			1.0	2.0
JAK1	1.0	2.0	2.0	2.0	1.0
LEPR	1.0	6.0	6.0	5.0	1.0
PDE4B	6.0	4.0	2.0	4.0	3.0
WDR78	1.0				1.0
C1orf141	3.0				14.0
IL23R	8.0				19.0
RNU4ATAC4P	1.0				
IL12RB2	1.0				3.0
GADD45A	1.0				
GNG12	1.0	1.0	1.0	1.0	
GNG12-AS1	1.0	2.0	2.0	2.0	
CRYZ	1.0	1.0		1.0	
AK5	1.0	5.0	2.0	5.0	
TTLL7	1.0				
LPAR3	1.0				
DDAH1	2.0				2.0
COL24A1	1.0	1.0		1.0	
TGFBR3	3.0	2.0	1.0	2.0	3.0
BRDT	2.0			2.0	
RPAP2	1.0	1.0		4.0	
DPYD-IT1	1.0				
MIR137HG	1.0				
DBT	1.0				
CDC14A	1.0				1.0
COL11A1	6.0	2.0		2.0	14.0
VAV3	2.0				4.0
KIAA1324	1.0	1.0	3.0	2.0	4.0
CELSR2	6.0	4.0	7.0	5.0	19.0
PSRC1	1.0	2.0	5.0	5.0	2.0
GNAI3	3.0	1.0	4.0	2.0	
GSTM4	1.0			4.0	2.0
CSF1	1.0	3.0	1.0	3.0	
CEPT1	1.0	1.0	1.0	4.0	
CHIA	1.0				
KCND3	1.0				7.0
WNT2B	8.0	3.0	1.0	4.0	14.0
CAPZA1	1.0	1.0	1.0	3.0	
MAGI3	7.0	1.0		1.0	23.0
PHTF1	10.0				3.0
RSBN1	5.0			1.0	
PTPN22	19.0	1.0		1.0	46.0
AP4B1-AS1	1.0			1.0	3.0
BCL2L15	2.0			1.0	3.0
DCLRE1B	1.0				1.0
OLFML3	1.0				6.0
TSPAN2	2.0				4.0
NGF	2.0				6.0
VANGL1	1.0				
CD58	1.0				
NEFHP1	1.0				
PTGFRN	1.0				1.0
TBX15	1.0	2.0	1.0	2.0	
PHGDH	1.0	1.0		1.0	1.0
NOTCH2	1.0	1.0	1.0	1.0	2.0
EMBP1	1.0				2.0
SEC22B	3.0				
CHD1L	2.0	1.0		1.0	3.0
LINC00624	1.0				
NBPF15	1.0				
FCGR1A	1.0				
SV2A	1.0	1.0		4.0	
MTMR11	3.0	4.0	1.0	4.0	1.0
OTUD7B	4.0	3.0	2.0	5.0	3.0
ANP32E	1.0				
MRPS21	1.0	2.0	2.0	3.0	1.0
RPRD2	1.0	2.0	1.0	4.0	
ADAMTSL4	1.0			6.0	
ENSA	1.0	6.0	3.0	9.0	
GOLPH3L	2.0	8.0	6.0	9.0	5.0
HORMAD1	3.0			5.0	1.0
CTSS	1.0			3.0	1.0
CTSK	1.0			2.0	
ARNT	3.0	3.0	1.0	7.0	2.0
SETDB1	1.0	2.0	1.0	9.0	
CERS2	2.0	4.0	4.0	9.0	6.0
ANXA9	1.0	4.0	3.0	8.0	2.0
BNIPL	1.0	2.0	2.0	2.0	1.0
MLLT11	1.0			2.0	
SEMA6C	1.0	1.0		2.0	
PIP5K1A	1.0	1.0		3.0	1.0
SNX27	1.0				
RIIAD1	1.0				
RORC	3.0	1.0	1.0	1.0	4.0
FLG-AS1	1.0				1.0
FLG	5.0				
LCE1E	1.0			1.0	
SPRR4	1.0				
NPR1	1.0				
INTS3	2.0				
SLC27A3	2.0				
GATAD2B	1.0	1.0		1.0	1.0
CRTC2	1.0			1.0	
UBAP2L	1.0			1.0	
RNU6-121P	1.0			1.0	1.0
IL6R	6.0	5.0	4.0	5.0	2.0
CHRNB2	1.0			4.0	1.0
ADAR	2.0	4.0	4.0	4.0	3.0
KCNN3	3.0	1.0	1.0	1.0	5.0
FLAD1	1.0	1.0		5.0	
ZBTB7B	4.0	2.0		7.0	5.0
DCST2	1.0	4.0	1.0	7.0	1.0
DCST1	1.0	2.0	1.0	7.0	1.0
ADAM15	1.0	3.0	2.0	7.0	2.0
HMGN2P18	1.0	2.0	2.0	3.0	3.0
THBS3	1.0	4.0	3.0	5.0	4.0
MTX1	1.0	3.0	3.0	5.0	4.0
GBAP1	3.0	1.0		5.0	
GBA	1.0			4.0	
ASH1L	2.0	2.0	1.0	3.0	1.0
YY1AP1	1.0				
DAP3	1.0			2.0	
GON4L	1.0	2.0	1.0	2.0	3.0
ARHGEF2	1.0				
UBQLN4	1.0			1.0	
LMNA	1.0	1.0		1.0	
SLC25A44	1.0			1.0	
PMF1-BGLAP	1.0	1.0		1.0	1.0
CCT3	2.0				1.0
MEF2D	3.0	1.0		1.0	2.0
TTC24	1.0				
GPATCH4	1.0				
HDGF	1.0			1.0	
PRCC	1.0			1.0	3.0
NTRK1	3.0			2.0	4.0
FCRL2	2.0				1.0
CRPP1	1.0	1.0	1.0	1.0	4.0
CRP	3.0	1.0	1.0	1.0	3.0
SLAMF6	1.0				1.0
FCGR2A	3.0	2.0	2.0	4.0	7.0
DDR2	1.0				1.0
PBX1	1.0	1.0	1.0	1.0	
TMCO1	1.0	1.0		1.0	5.0
UCK2	1.0				
CD247	3.0				1.0
CREG1	1.0				
XCL2	1.0				5.0
LINC00970	1.0	1.0	1.0	1.0	11.0
ATP1B1	2.0			1.0	10.0
NME7	9.0			1.0	24.0
BLZF1	1.0				
CCDC181	3.0				
SLC19A2	1.0				5.0
AL021068.1	1.0				12.0
F5	10.0				20.0
SELL	2.0	1.0		1.0	
HAUS4P1	1.0	1.0		1.0	3.0
PRRX1	2.0	2.0	1.0	2.0	5.0
MROH9	1.0				5.0
MYOC	3.0	1.0	1.0	2.0	6.0
VAMP4	2.0			2.0	
DNM3	7.0	5.0	3.0	8.0	3.0
C1orf105	1.0	4.0	2.0	6.0	1.0
SUCO	1.0	1.0		1.0	
FASLG	1.0	1.0	1.0	1.0	
SLC25A38P1	2.0			1.0	
TNFSF4	1.0	1.0	1.0	1.0	3.0
SLC9C2	1.0				
KLHL20	1.0				
DARS2	4.0				
RC3H1	1.0			1.0	
RABGAP1L	8.0				4.0
SDCCAG3P2	1.0				1.0
TNN	1.0				
KIAA0040	1.0				4.0
PAPPA2	2.0	3.0	2.0	3.0	
ASTN1	1.0	1.0		3.0	
SEC16B	1.0	5.0	1.0	5.0	3.0
RASAL2	1.0				
SOAT1	2.0	1.0		1.0	2.0
AXDND1	1.0				
LAMC1	3.0	1.0		1.0	2.0
NMNAT2	1.0				
NCF2	1.0				
COLGALT2	4.0	1.0		2.0	9.0
C1orf21	1.0				2.0
RNF2	1.0				1.0
RGS21	1.0				1.0
KCNT2	1.0	1.0	1.0	1.0	7.0
CFH	4.0	1.0	1.0	1.0	10.0
CFHR5	1.0				7.0
CRB1	2.0	1.0	1.0	2.0	10.0
DENND1B	2.0	1.0	1.0	1.0	8.0
LHX9	1.0				6.0
NEK7	2.0				9.0
PTPRC	4.0	3.0	2.0	3.0	10.0
MIR181A1HG	2.0	2.0	1.0	3.0	3.0
NR5A2	2.0				5.0
CAMSAP2	2.0				1.0
GPR25	1.0				
MROH3P	3.0				5.0
KIF21B	2.0			2.0	2.0
CACNA1S	2.0	2.0	1.0	2.0	2.0
ASCL5	1.0				1.0
PHLDA3	1.0				1.0
RPS10P7	2.0				1.0
NAV1	2.0			2.0	3.0
LMOD1	2.0	1.0		2.0	1.0
LGR6	1.0				
SYT2	1.0				1.0
KDM5B	1.0				
PPFIA4	1.0				4.0
ADORA1	2.0				2.0
PLEKHA6	1.0				1.0
PIK3C2B	1.0				
MDM4	1.0				1.0
LRRN2	1.0				2.0
CNTN2	1.0	3.0	1.0	3.0	
RBBP5	2.0			6.0	2.0
DSTYK	3.0	3.0	1.0	8.0	
TMCC2	1.0	7.0	4.0	7.0	
LEMD1-AS1	1.0			2.0	
SRGAP2	1.0			1.0	2.0
IKBKE	1.0	1.0		1.0	
MAPKAPK2	1.0				
IL10	5.0				12.0
IL19	3.0				3.0
C4BPB	1.0	1.0	1.0	1.0	
CD55	1.0				1.0
