HPO_term	cluster_label	HPO_label
HP:0001039	3229	Atheroeruptive xanthoma
HP:0025336	3273	Delayed ability to sit
HP:0002761	1663	Generalized joint hypermobility
HP:0008798	1734	Widened greater sciatic notch
HP:0011649	2897	Patent ductus arteriosus after premature birth
HP:0034633	1999	Reduced muscle enolase activity
HP:0000826	86	Precocious puberty
HP:0002209	1192	Sparse scalp hair
HP:0011560	2114	Mitral atresia
HP:0000710	333	Hyperorality
HP:0030424	1764	Epididymal cyst
HP:0002803	2116	Congenital contracture
HP:0033279	3287	Enterocutaneous fistula
HP:0010017	4214	Cone-shaped epiphysis of the 1st metacarpal
HP:0030257	3224	Freckled genitalia
HP:0001057	3038	Aplasia cutis congenita
HP:0005550	1122	Chronic lymphatic leukemia
HP:0008609	1741	Abnormal middle ear morphology
HP:0030613	3261	Abnormal foveal morphology on macular OCT
HP:0012624	1900	Stage 2 chronic kidney disease
HP:0006812	3394	White mater abnormalities in the posterior periventricular region
HP:0031029	3625	Elevated circulating carcinoembryonic antigen concentration
HP:0030691	3273	Divergence nystagmus
HP:0030221	3892	Sweet craving
HP:0011227	1672	Elevated circulating C-reactive protein concentration
HP:0010631	76	Abnormality of the epiphyses of the feet
HP:0002341	2965	Cervical cord compression
HP:0003272	2850	Abnormal hip bone morphology
HP:0006682	2073	Premature ventricular contraction
HP:0100665	3027	Angioedema
HP:0002035	3224	Rectal prolapse
HP:0004840	1929	Hypochromic microcytic anemia
HP:0007375	86	Abnormal septum pellucidum morphology
HP:0034742	544	Elevated urinary formiminoglutamic acid level
HP:0002490	3146	Increased CSF lactate
HP:0007830	3554	Adult-onset night blindness
HP:0031447	37	Penile freckling
HP:0034719	1520	Lack of oocyte pronucleus formation
HP:6000372	3492	Elevated CSF D-glyceric acid concentration
HP:0002453	2682	Abnormal globus pallidus morphology
HP:0030323	847	Unilateral vertebral artery hypoplasia
HP:0500231	3622	Abnormal CSF pyruvate family amino acid concentration
HP:0005339	1192	Abnormality of complement system
HP:0002375	3265	Hypokinesia
