MPO_term	cluster_label	MPO_label
MP:0005136	3965	decreased growth hormone level
MP:0011530	5202	fused radius and ulna
MP:0011758	2181	renal ischemia
MP:0031421	513	increased superovulation rate
MP:0004956	1760	decreased thymus weight
MP:0004376	4916	absent frontal bone
MP:0008027	2227	abnormal spinal cord white matter morphology
MP:0005481	3916	increased chronic myelocytic leukemia incidence
MP:0006167	4103	eyelid edema
MP:0030472	3173	fused teeth
MP:0010307	358	abnormal tumor latency
MP:0003958	2810	heart valve hyperplasia
MP:0008272	1910	abnormal endochondral bone ossification
MP:0011923	3697	abnormal bladder urine volume
MP:0006018	2353	abnormal tympanic membrane morphology
MP:0005159	3501	azoospermia
MP:0000470	1999	abnormal stomach morphology
MP:0011092	884	embryonic lethality, complete penetrance
MP:0009823	591	abnormal sphingomyelin level
MP:0011012	828	bronchiectasis
MP:0006121	1910	calcified mitral valve
MP:0002859	1211	abnormal inner ear canal fusion
MP:0002870	2459	decreased anti-insulin autoantibody level
MP:0020602	1961	decreased cerebral cortex average cell area
MP:0003730	746	abnormal photoreceptor inner segment morphology
MP:0011187	3682	abnormal parietal endoderm morphology
MP:0006020	2748	decreased tympanic ring size
MP:0001404	2580	no spontaneous movement
MP:0002683	3221	delayed fertility
MP:0010422	2093	heart right ventricle hypoplasia
MP:0001744	3100	hypersecretion of corticosterone
MP:0014003	1093	additional anastomosis between intracranial vertebral arteries
MP:0009232	5562	abnormal sperm nucleus morphology
MP:0010294	4852	increased kidney tumor incidence
MP:0006062	3137	abnormal vena cava morphology
MP:0000553	4203	absent radius
MP:0012816	1853	abnormal rhombomere boundary morphology
MP:0008149	4320	abnormal costovertebral joint morphology
MP:0020521	257	browned white adipose tissue morphology
MP:0004626	2694	vertebral compression
MP:0001504	108	abnormal posture
MP:0011055	1660	abnormal respiratory motile cilium physiology
MP:0013705	3297	decreased megakaryocyte-erythroid progenitor cell number
MP:0004772	2513	abnormal bile secretion
MP:0003073	3640	abnormal metacarpal bone morphology
MP:0030816	2353	abnormal shoulder joint morphology
MP:0003035	1719	decreased pulmonary vascular resistance
MP:0012217	640	increased plasmalogen level
MP:0010800	4324	abnormal submucous nerve plexus morphology
MP:0009742	4433	increased corneal stroma thickness
MP:0011229	7019	abnormal vitamin C level
MP:0000501	3462	abnormal digestive secretion
MP:0013420	2276	decreased CD5-positive gamma-delta T cell number
MP:0001898	3643	abnormal long term depression
MP:0010965	6722	decreased compact bone volume
MP:0001026	5425	abnormal adrenergic neuron morphology
MP:0003710	3477	abnormal physiological neovascularization
MP:0014172	2606	decreased fatty acid oxidation
MP:0009021	1550	absent estrus
MP:0003360	3499	abnormal depression-related behavior
MP:0006344	4945	small second pharyngeal arch
MP:0013265	184	abnormal fourth pharyngeal pouch morphology
MP:0009590	413	increased gonad tumor incidence
MP:0013338	2697	abnormal neurohypophysis development
MP:0006208	4780	lethality throughout fetal growth and development
MP:0001085	3361	small petrosal ganglion
MP:0011736	1568	decreased urine ammonia level
MP:0008833	3558	caudal hemivertebra
MP:0009127	1835	increased brown fat cell number
MP:0010896	3362	decreased lung compliance
MP:0003613	3851	abnormal kidney medulla development
MP:0004075	3748	decreased Schwann cell precursor number
MP:0005076	3029	abnormal cell differentiation
MP:0011143	1725	thick lung-associated mesenchyme
MP:0001013	3764	enlarged superior cervical ganglion
MP:0010782	3833	stomach smooth muscle circular layer hypertrophy
MP:0030228	6792	absent tubotympanic recess
MP:0012370	1154	decreased erythrocyte potassium level
MP:0002969	4818	impaired social transmission of food preference
MP:0008493	2984	alpha-synuclein inclusion body
MP:0030768	3452	increased urine dopamine level
MP:0020925	976	increased susceptibility to Hepadnaviridae infection
MP:0001320	2332	small pupils
MP:0004535	715	absent inner hair cell stereocilia
MP:0000848	1050	abnormal pons morphology
MP:0008788	3473	abnormal fetal cardiomyocyte morphology
MP:0001490	3130	abnormal vibrissae reflex
MP:0013282	3916	urinary bladder exstrophy
MP:0010750	1986	increased susceptibility to parasitic infection induced morbidity/mortality
MP:0012265	6991	increased hindbrain size
MP:0003288	2511	intestinal edema
MP:0002822	2393	catalepsy
MP:0030174	203	absent orbicularis oculi muscle
MP:0003006	3812	abnormal hippocampal fornix morphology
MP:0001921	2181	reduced fertility
MP:0003761	3456	arched palate
MP:0003884	3049	decreased macrophage cell number
MP:0000291	4177	enlarged pericardium
MP:0006143	3486	increased systemic arterial diastolic blood pressure
MP:0003100	1024	myopia
MP:0003653	2361	decreased skin turgor
