MGI	HMD	PhenoGeno
MGI:98365	NA	MP:0005130,MP:0013351,MP:0001262,MP:0002199,MP:0001125,MP:0000633,MP:0014198,MP:0001130,MP:0002100,MP:0002216,MP:0000830,MP:0001925,MP:0000780,MP:0002082,MP:0002209,MP:0001119,MP:0011086,MP:0000826,MP:0001127,MP:0002784,MP:0004852,MP:0002687,MP:0001156,MP:0001146,MP:0013342,MP:0000428,MP:0005136,MP:0008221,MP:0001732,MP:0000837,MP:0009463,MP:0005134,MP:0013337,MP:0001923,MP:0031239
MGI:1289230	NA	MP:0003961,MP:0005642,MP:0010024,MP:0002968,MP:0010123,MP:0002060
MGI:1920866	NA	MP:0002675,MP:0004852
MGI:2443302	NA	MP:0000352
MGI:1890440	NA	MP:0013279,MP:0000150
MGI:1919348	NA	MP:0005316,MP:0005318,MP:0010951,MP:0001262,MP:0001732,MP:0002644,MP:0010378,MP:0000194,MP:0014143,MP:0005628,MP:0001258,MP:0009356,MP:0011940
MGI:894326	NA	MP:0011100
MGI:3808822	NA	MP:0001265
MGI:1915230	NA	MP:0002590
MGI:1924977	NA	MP:0002169
MGI:2156538	NA	MP:0001730,MP:0004190,MP:0010808,MP:0002766,MP:0001785,MP:0000531,MP:0003984,MP:0011086,MP:0001706,MP:0000644,MP:0011099
MGI:1916442	NA	MP:0010097,MP:0011100,MP:0001417,MP:0002953,MP:0013292
MGI:1351603	NA	MP:0001922,MP:0001925,MP:0000242
MGI:1100870	NA	MP:0001402,MP:0005017,MP:0005553,MP:0002015,MP:0009640,MP:0005565
MGI:1890212	NA	MP:0001924,MP:0009085,MP:0000519,MP:0000564,MP:0009264,MP:0012132,MP:0002169,MP:0001218,MP:0002085,MP:0001147,MP:0005262,MP:0000414,MP:0002759,MP:0011092,MP:0011101,MP:0002109,MP:0011102,MP:0000565,MP:0008730,MP:0000592,MP:0003051,MP:0002544,MP:0002213,MP:0002769,MP:0001212,MP:0002080,MP:0003384,MP:0000428,MP:0004073,MP:0002073,MP:0014280,MP:0001247,MP:0005103,MP:0002110
MGI:1921855	NA	MP:0001399,MP:0005293,MP:0005560
MGI:99515	NA	MP:0004950,MP:0005154,MP:0005017,MP:0010838,MP:0011088,MP:0010053,MP:0008778,MP:0011353,MP:0008053,MP:0002828,MP:0001879,MP:0008497,MP:0002869,MP:0010200,MP:0005074,MP:0008182,MP:0001916,MP:0011100,MP:0011090,MP:0005566,MP:0002463,MP:0008496,MP:0011085,MP:0008078,MP:0008495,MP:0001417,MP:0010024,MP:0009923,MP:0002467,MP:0008396,MP:0002144,MP:0012080,MP:0001914,MP:0000333,MP:0002743,MP:0008074,MP:0002192,MP:0001802,MP:0006387,MP:0006054,MP:0001876,MP:0000574,MP:0001175,MP:0003961,MP:0008782,MP:0010195,MP:0008211,MP:0009926,MP:0001614,MP:0010133,MP:0008190,MP:0001915,MP:0002494,MP:0002459,MP:0002455,MP:0008561,MP:0005559,MP:0011348,MP:0000219,MP:0010198,MP:0010819,MP:0011427,MP:0004993,MP:0010130,MP:0014404,MP:0010835,MP:0004106,MP:0008560,MP:0005554,MP:0002962,MP:0000238,MP:0004938
MGI:1929100	NA	MP:0002169
MGI:1919374	NA	MP:0011091,MP:0011100
MGI:1344394	NA	MP:0003179,MP:0010052,MP:0005240
MGI:1933199	NA	MP:0005179,MP:0001529,MP:0011110
MGI:1344402	NA	MP:0001846,MP:0009334,MP:0008568,MP:0008705,MP:0008722,MP:0008537,MP:0002376,MP:0008735
