type	DRC150
high	0.00186062
high	0.00192048
high	0.00132755
high	0.00127924
high	0.00187678
high	0.00122484
high	0.00187666
high	0.0026366
high	0.0017591
high	0.00172896
high	0.00184703
high	0.00199145
high	0.00124391
high	0.00245945
high	0.00249537
high	0.00116945
high	0.00209944
high	0.00134118
high	0.00130426
high	0.00123326
high	0.00114149
high	0.0013198
high	0.00145105
high	0.00136133
high	0.0023349
high	0.00119983
high	0.00319018
high	0.00328393
high	0.0037534
high	0.00375322
high	0.0036496
high	0.000993241
high	0.00173798
high	0.0017309
high	0.00396396
high	0.00194627
high	0.00147731
high	0.00197955
high	0.00321129
high	0.00530118
high	0.00319554
high	0.00117418
high	0.00248482
high	0.00178415
high	0.00206493
high	0.00172077
high	0.0018476
high	0.0010186
high	0.00135417
high	0.00196291
high	0.00123977
high	0.0014619
high	0.00191866
high	0.00258993
high	0.0026861
high	0.002725
high	0.00275268
high	0.00124322
high	0.00132358
high	0.001752
high	0.00181925
high	0.00199175
high	0.00208235
high	0.00220184
high	0.00156529
high	0.00114035
high	0.00543809
high	0.00162062
high	0.00169654
high	0.00170336
high	0.00166837
high	0.00239768
high	0.00156797
high	0.00149535
high	0.00262049
high	0.00161454
high	0.00171374
high	0.00186269
high	0.00103885
high	0.00300972
high	0.00134896
high	0.00144488
high	0.00226065
high	0.00200723
high	0.00259271
high	0.00146185
high	0.00176765
high	0.00120829
high	0.00466045
high	0.00313762
high	0.00159342
high	0.00116244
high	0.00166676
high	0.00188356
high	0.00232821
high	0.00239249
high	0.00262176
high	0.00262056
high	0.00350729
high	0.00584381
high	0.00642419
high	0.00677934
high	0.0072213
high	0.0072764
high	0.00718007
high	0.00849916
high	0.00945685
high	0.0103538
high	0.0119923
high	0.0218011
high	0.00944429
high	0.00494251
high	0.00235071
high	0.00236185
high	0.00249138
high	0.00235297
high	0.00149287
high	0.0020531
high	0.00178222
high	0.00266581
high	0.00236709
high	0.00230583
high	0.00144754
high	0.00132663
high	0.00105883
high	0.00201174
high	0.00131914
high	0.000977344
high	0.00305319
high	0.0026313
moderate	0.000897083
moderate	0.00168546
moderate	0.00162538
moderate	0.00145312
moderate	0.00162567
moderate	0.00215768
moderate	0.00224499
moderate	0.00238176
moderate	0.00258009
moderate	0.0023484
moderate	0.00204005
moderate	0.00160928
moderate	0.0013255
moderate	0.0016179
moderate	0.00155356
moderate	0.0027284
moderate	0.00258091
moderate	0.0012612
moderate	0.00218319
moderate	0.00133795
moderate	0.00231491
moderate	0.00136386
moderate	0.00131146
moderate	0.00204848
moderate	0.0028892
moderate	0.00233555
moderate	0.00162249
moderate	0.00170863
moderate	0.00114202
moderate	0.00138702
moderate	0.00192995
moderate	0.00183579
moderate	0.00193532
moderate	0.00168799
moderate	0.00248669
moderate	0.00197008
moderate	0.00147795
moderate	0.0018565
moderate	0.00178148
moderate	0.000885484
moderate	0.00125809
moderate	0.00196188
moderate	0.00171773
moderate	0.0017967
moderate	0.00181815
moderate	0.00191745
moderate	0.00201534
moderate	0.00170991
moderate	0.00146189
moderate	0.00142941
moderate	0.00127964
moderate	0.0009655
moderate	0.00156628
moderate	0.00142153
moderate	0.00210844
moderate	0.0017937
moderate	0.00121894
moderate	0.00169968
moderate	0.00205751
moderate	0.00258976
moderate	0.00176868
moderate	0.00187678
moderate	0.00183074
moderate	0.00186151
moderate	0.00187506
moderate	0.00170982
moderate	0.00153433
moderate	0.00105643
moderate	0.00146561
moderate	0.00184507
moderate	0.00181805
moderate	0.00187666
moderate	0.00182355
moderate	0.00224326
moderate	0.00292737
moderate	0.00296216
moderate	0.00228865
moderate	0.00196485
moderate	0.00195968
moderate	0.00131567
moderate	0.0018915
moderate	0.00131896
moderate	0.00129849
moderate	0.00127593
moderate	0.00145228
moderate	0.00172741
moderate	0.00171909
moderate	0.00175013
moderate	0.00159417
moderate	0.00158974
moderate	0.00135488
moderate	0.00134581
moderate	0.00133949
moderate	0.00188019
moderate	0.00136127
moderate	0.00123014
moderate	0.00212226
moderate	0.00272341
moderate	0.00122031
moderate	0.00152731
moderate	0.00185827
moderate	0.00205016
moderate	0.00187401
moderate	0.00196847
moderate	0.00196662
moderate	0.00197429
moderate	0.00167611
moderate	0.00134104
moderate	0.00216282
moderate	0.00184172
moderate	0.00101438
moderate	0.000924893
moderate	0.00162898
moderate	0.00162167
moderate	0.00175453
moderate	0.00247038
moderate	0.00266051
moderate	0.00186541
moderate	0.00281085
moderate	0.00283754
moderate	0.00182687
moderate	0.00158304
moderate	0.00174126
moderate	0.0022316
moderate	0.00265945
moderate	0.00233779
moderate	0.00181031
moderate	0.00189619
moderate	0.00204573
moderate	0.00196467
moderate	0.00208034
moderate	0.00210353
moderate	0.00276414
moderate	0.00290691
moderate	0.00268672
moderate	0.00242113
moderate	0.00244575
moderate	0.00255159
moderate	0.00266761
moderate	0.00166858
moderate	0.00183153
moderate	0.00207736
moderate	0.00145003
moderate	0.00157411
moderate	0.00124249
moderate	0.001328
moderate	0.00180755
moderate	0.00178871
moderate	0.00163154
moderate	0.00172471
moderate	0.00184394
moderate	0.00216571
moderate	0.00239123
moderate	0.00240959
moderate	0.00165036
moderate	0.00170752
moderate	0.0018509
moderate	0.00159917
moderate	0.00179195
moderate	0.00260874
moderate	0.002812
moderate	0.00282853
moderate	0.00292051
moderate	0.00274187
moderate	0.00251534
moderate	0.00245945
moderate	0.00169308
moderate	0.00145109
moderate	0.00139862
moderate	0.00114512
moderate	0.00197188
moderate	0.00166782
moderate	0.00244531
moderate	0.00179376
moderate	0.0017369
moderate	0.00118883
moderate	0.00168001
moderate	0.00110216
moderate	0.00621713
moderate	0.00134901
moderate	0.0014336
moderate	0.00107078
moderate	0.000983657
moderate	0.00134118
moderate	0.00119495
moderate	0.00120525
moderate	0.00153723
moderate	0.00173506
moderate	0.001006
moderate	0.00131872
moderate	0.00137862
moderate	0.00134197
moderate	0.00144925
moderate	0.00159699
moderate	0.00158454
moderate	0.00166461
moderate	0.00249828
moderate	0.00127859
moderate	0.0019586
moderate	0.00238784
moderate	0.00158661
moderate	0.00186172
moderate	0.000984813
moderate	0.00183837
moderate	0.00205453
moderate	0.00282937
moderate	0.00157685
moderate	0.00185543
moderate	0.00130426
moderate	0.00232941
moderate	0.00689143
moderate	0.00690034
moderate	0.00177648
moderate	0.00137644
moderate	0.0013319
moderate	0.00120521
moderate	0.00161044
moderate	0.00234896
moderate	0.00231916
moderate	0.0023273
moderate	0.00173328
moderate	0.00155358
moderate	0.0033996
moderate	0.00131857
moderate	0.00134569
moderate	0.00117024
moderate	0.000905023
moderate	0.00102411
moderate	0.00122013
moderate	0.000665846
moderate	0.00199258
moderate	0.00140206
moderate	0.00148474
moderate	0.00185893
moderate	0.00129511
moderate	0.00148101
moderate	0.00148252
moderate	0.00167214
moderate	0.00184122
moderate	0.00179557
moderate	0.00166902
moderate	0.00234545
moderate	0.00243396
moderate	0.00316871
moderate	0.00258363
moderate	0.00266507
moderate	0.00405835
moderate	0.00166532
moderate	0.00228167
moderate	0.00235922
moderate	0.00231149
moderate	0.00229422
moderate	0.00183391
moderate	0.00110073
moderate	0.00122493
moderate	0.00209648
moderate	0.00156835
moderate	0.00184184
moderate	0.00219838
moderate	0.00265959
moderate	0.00119983
moderate	0.0015651
moderate	0.00192082
moderate	0.00101456
moderate	0.00164452
moderate	0.00308993
moderate	0.00386441
moderate	0.00375322
moderate	0.00365003
moderate	0.00344102
moderate	0.00197542
moderate	0.00131911
moderate	0.00270514
moderate	0.00280552
moderate	0.00227682
moderate	0.00204763
moderate	0.00271774
moderate	0.00303279
moderate	0.00261554
moderate	0.002958
moderate	0.00140537
moderate	0.00156448
moderate	0.00184202
moderate	0.00128951
moderate	0.000926866
moderate	0.00129024
moderate	0.0015109
moderate	0.00149383
moderate	0.00156678
moderate	0.00197544
moderate	0.00190342
moderate	0.00113003
moderate	0.00124775
moderate	0.00192454
moderate	0.00242264
moderate	0.00248518
moderate	0.00219519
moderate	0.00215197
moderate	0.00127599
moderate	0.0012406
moderate	0.00191833
moderate	0.00170825
moderate	0.0015724
moderate	0.00177419
moderate	0.00154922
moderate	0.00171986
moderate	0.00157095
moderate	0.00224231
moderate	0.001579
moderate	0.00217536
moderate	0.00117531
moderate	0.00164676
moderate	0.00118819
moderate	0.00106336
moderate	0.000892747
moderate	0.000850715
moderate	0.00173798
moderate	0.00108497
moderate	0.00163206
moderate	0.001541
moderate	0.0019349
moderate	0.00229832
moderate	0.00212854
moderate	0.00113168
moderate	0.000983735
moderate	0.00103989
moderate	0.00112994
moderate	0.00143834
moderate	0.00164386
moderate	0.00182424
moderate	0.00200079
moderate	0.00084586
moderate	0.00156584
moderate	0.00175743
moderate	0.00539622
moderate	0.00146851
moderate	0.00434331
moderate	0.00401506
moderate	0.00261663
moderate	0.000911184
moderate	0.00195211
moderate	0.00176257
moderate	0.00124718
moderate	0.00204786
moderate	0.00134225
moderate	0.00142644
moderate	0.00163262
moderate	0.00143935
moderate	0.00191367
moderate	0.00193231
moderate	0.00172256
moderate	0.00188416
moderate	0.00197309
moderate	0.00120203
moderate	0.00131174
moderate	0.00129495
moderate	0.00138228
moderate	0.00129958
moderate	0.00175984
moderate	0.00180101
moderate	0.0020731
moderate	0.00214127
moderate	0.00233001
moderate	0.00278199
moderate	0.00156893
moderate	0.00199702
moderate	0.00271721
moderate	0.00173481
moderate	0.001448
moderate	0.00126455
moderate	0.00178347
moderate	0.00219818
moderate	0.00313057
moderate	0.00120926
moderate	0.0014978
