type	iHS
high	1.632
high	3.939
high	2.329
high	2.611
high	2.082
high	1.474
high	2.006
high	2.798
high	2.279
high	2.59
high	2.398
high	2.183
high	1.93
high	2.116
high	2.406
high	1.419
high	1.749
high	3.688
high	3.803
high	2.158
high	2.25
high	2.103
high	1.947
high	2.997
high	1.838
high	6.104
high	2.595
high	3.388
high	2.336
high	3.831
high	2.276
high	2.214
high	8.091
high	3.646
high	3.675
high	3.782
high	4.065
high	4.897
high	3.667
high	2.401
high	2.929
high	1.553
high	2.418
high	2.75
high	2.1
high	5.168
high	2.361
high	5.145
high	2.23
high	2.562
high	1.386
high	1.942
high	2.158
high	2.58
high	1.475
high	2.485
high	2.08
high	2.34
high	1.83
high	3.025
high	2.893
high	2.886
high	3.201
high	2.468
high	3.3
high	2.486
high	2.407
high	2.44
high	2.52
high	5.934
high	2.704
high	2.995
high	2.194
high	1.679
high	2.75
high	1.458
high	2.58
high	1.526
high	4.059
high	3.526
high	2.12
high	4.483
high	5.779
high	4.325
high	2.923
high	2.142
high	1.807
high	2.622
high	3.03
high	3.847
high	2.597
high	2.236
high	4.32
high	3.237
high	1.98
high	2.882
high	3.518
high	2.197
high	1.65
high	2.074
high	2.447
high	3.402
high	3.971
high	2.934
high	2.217
high	5.728
high	2.714
high	3.51
high	2.526
high	2.486
high	2.501
high	4.116
high	5.413
high	2.779
high	1.967
high	2.269
high	2.128
high	4.161
high	2.65
high	4.319
high	3.65
high	3.344
high	2.799
high	4.256
high	2.086
high	6.004
high	1.174
high	3.268
high	2.493
high	1.91
high	4.179
high	3.635
high	5.719
high	7.518
high	4.362
high	2.629
high	3.9
high	4.057
high	2.32
high	6.482
high	1.87
high	2.643
high	4.769
high	3.64
high	2.868
high	3.038
high	2.322
high	2.002
high	2.393
high	4.412
high	2.197
high	3.225
high	1.117
moderate	4.033
moderate	4.869
moderate	5.058
moderate	2.909
moderate	4.833
moderate	3.733
moderate	2.422
moderate	4.172
moderate	2.389
moderate	3.846
moderate	5.156
moderate	2.269
moderate	2.303
moderate	3.925
moderate	1.835
moderate	5.269
moderate	2.102
moderate	2.055
moderate	4.914
moderate	1.959
moderate	2.363
moderate	1.352
moderate	3.022
moderate	1.966
moderate	1.9
moderate	2.598
moderate	2.549
moderate	1.669
moderate	2.399
moderate	1.759
moderate	3.014
moderate	4.441
moderate	2.442
moderate	2.804
