type	DRC150
high	0.0012732
high	0.00135271
high	0.00240235
high	0.00133795
high	0.00196188
high	0.00181156
high	0.00121894
high	0.00258976
high	0.00187678
high	0.00273707
high	0.00195968
high	0.00129297
high	0.00175018
high	0.00248133
high	0.00342571
high	0.00174801
high	0.00235188
high	0.00159917
high	0.00109981
high	0.00690034
high	0.00230201
high	0.0010869
high	0.00308993
high	0.0037534
high	0.00375322
high	0.0036496
high	0.00353502
high	0.00375776
high	0.00261554
high	0.00212491
high	0.00184034
high	0.00412655
high	0.00271749
high	0.00180236
high	0.00258284
high	0.000874815
high	0.00134845
high	0.00126625
high	0.00186826
high	0.00155591
high	0.00208374
high	0.00163062
high	0.00351807
high	0.00286591
high	0.00137737
high	0.00194627
high	0.00161071
high	0.00150416
high	0.00267724
high	0.00368255
high	0.00413728
high	0.00505639
high	0.00509526
high	0.00146595
high	0.00167712
high	0.00270011
high	0.00507465
high	0.00499784
high	0.00113908
high	0.00149324
high	0.00125349
high	0.00117513
high	0.00159469
high	0.00125023
high	0.00122606
high	0.000948639
high	0.00181356
high	0.00267238
high	0.00310115
high	0.00222429
high	0.00184163
high	0.00173818
high	0.00164477
high	0.00202951
high	0.00175384
high	0.00199175
high	0.00262294
high	0.00168438
high	0.00177827
high	0.00170336
high	0.00166837
high	0.00273263
high	0.00250211
high	0.00252533
high	0.00239768
high	0.00223766
high	0.00254692
high	0.00113065
high	0.00276149
high	0.00116254
high	0.00121471
high	0.000891685
high	0.00171374
high	0.00168895
high	0.00173354
high	0.00128545
high	0.00168846
high	0.00153584
high	0.00176841
high	0.00154587
high	0.00159505
high	0.00186593
high	0.00171587
high	0.00226065
high	0.0016521
high	0.00184651
high	0.00208843
high	0.00146185
high	0.00434215
high	0.00138482
high	0.00222981
high	0.00111826
high	0.0023097
high	0.00188809
high	0.00566169
high	0.00609599
high	0.00642419
high	0.00698344
high	0.0072764
high	0.00718007
high	0.0103538
high	0.0106848
high	0.0117702
high	0.0117578
high	0.00904978
high	0.0167669
high	0.0206821
high	0.0218011
high	0.0157163
high	0.00944429
high	0.00225229
high	0.00235071
high	0.00245809
high	0.00258697
high	0.00231845
high	0.00148605
high	0.00202269
high	0.00216345
high	0.00209589
high	0.00137949
high	0.0020531
high	0.00147369
high	0.00251956
high	0.00140774
high	0.00144437
high	0.00273707
high	0.00295
high	0.00223977
high	0.00197525
high	0.00171907
high	0.00209075
high	0.00241984
high	0.00137686
high	0.00149838
high	0.00159334
high	0.00192487
high	0.00382658
high	0.00171809
high	0.0006503
high	0.00133838
high	0.00164725
high	0.00160076
high	0.00284678
high	0.0018454
high	0.00169606
high	0.00139308
high	0.00302437
high	0.00305319
moderate	0.00139952
moderate	0.0015089
moderate	0.00224499
moderate	0.00188844
moderate	0.0013607
moderate	0.00258009
moderate	0.00251715
moderate	0.00240235
moderate	0.00204364
moderate	0.00171233
moderate	0.0016179
moderate	0.00155356
moderate	0.00237972
moderate	0.00238009
moderate	0.0020182
moderate	0.00154436
moderate	0.00250804
moderate	0.00218319
moderate	0.00133795
moderate	0.00133528
moderate	0.00235691
moderate	0.00206224
moderate	0.00131146
moderate	0.00126414
moderate	0.00179802
moderate	0.00127881
moderate	0.00191323
moderate	0.00163394
moderate	0.00166517
moderate	0.00146394
moderate	0.00217112
moderate	0.00216554
moderate	0.00164922
moderate	0.00183299
moderate	0.00275903
moderate	0.00229324
moderate	0.00193152
moderate	0.00248669
moderate	0.0028422
moderate	0.00150839
moderate	0.00196188
moderate	0.00130229
moderate	0.00201534
moderate	0.00209982
moderate	0.00226697
moderate	0.00121894
moderate	0.0015689
moderate	0.00169479
moderate	0.00169968
moderate	0.00147442
moderate	0.00171119
moderate	0.00187678
moderate	0.00170982
moderate	0.00262544
moderate	0.00277733
moderate	0.00171198
moderate	0.00146002
moderate	0.00151401
moderate	0.00157069
moderate	0.00187666
moderate	0.00180387
moderate	0.00196485
moderate	0.00208665
moderate	0.00191668
moderate	0.0019964
moderate	0.00195968
moderate	0.00147761
moderate	0.00131567
moderate	0.00124367
moderate	0.00134304
moderate	0.00129297
moderate	0.00139219
moderate	0.00113607
moderate	0.00103506
moderate	0.00134997
moderate	0.00329858
moderate	0.00122031
moderate	0.00145039
moderate	0.00196662
moderate	0.00173905
moderate	0.00130863
moderate	0.00172462
moderate	0.00182118
moderate	0.00160548
moderate	0.00287305
moderate	0.00356521
moderate	0.00156992
moderate	0.00217275
moderate	0.00208308
moderate	0.00283754
moderate	0.00249739
moderate	0.00158304
moderate	0.00174126
moderate	0.00162753
moderate	0.00265945
moderate	0.00156274
moderate	0.00296334
moderate	0.00179509
moderate	0.00202275
moderate	0.00178619
moderate	0.00133557
moderate	0.00222116
moderate	0.00181031
moderate	0.00161645
moderate	0.00198738
moderate	0.00193689
moderate	0.00192591
moderate	0.00278074
moderate	0.00245729
moderate	0.000949597
moderate	0.000973385
moderate	0.00231124
moderate	0.00235188
moderate	0.00238347
moderate	0.00165036
moderate	0.00137291
moderate	0.00124391
moderate	0.002812
moderate	0.00123107
moderate	0.00109981
moderate	0.00132729
moderate	0.00129605
moderate	0.00224207
moderate	0.00176117
moderate	0.00168001
moderate	0.00133301
moderate	0.0014336
moderate	0.00134118
moderate	0.00241558
moderate	0.00173481
moderate	0.001501
moderate	0.00113496
moderate	0.001764
moderate	0.00112751
moderate	0.001006
moderate	0.00124946
moderate	0.00137024
moderate	0.00144927
moderate	0.00155895
