type	iHS
high	3.253
high	3.547
high	2.23
high	1.3
high	2.71
high	2.435
high	1.53
high	3.678
high	2.382
high	3.829
high	2.478
high	2.8
high	4.439
high	3.035
high	2.548
high	3.675
high	3.782
high	3.429
high	4.065
high	4.897
high	4.196
high	4.213
high	1.594
high	2.093
high	4.562
high	3.307
high	2.979
high	1.904
high	3.307
high	2.421
high	2.026
high	2.279
high	2.758
high	4.379
high	2.083
high	2.152
high	3.873
high	2.746
high	3.978
high	1.31
high	2.27
high	2.011
high	5.474
high	3.387
high	5.288
high	4.248
high	3.288
high	2.662
high	2.893
high	2.081
high	5.934
high	3.672
high	2.907
high	3.343
high	4.118
high	2.539
high	2.75
high	1.458
high	1.801
high	2.958
high	2.779
high	2.504
high	3.039
high	1.987
high	2.057
high	2.279
high	1.116
high	1.65
high	3.504
high	2.36
high	1.936
high	2.304
high	4.626
high	2.217
high	1.857
high	2.848
high	3.51
high	2.319
high	3.658
high	2.661
high	4.256
high	2.086
high	3.37
high	1.657
high	2.493
high	2.311
high	2.936
high	1.834
high	2.719
high	2.994
high	1.834
high	1.717
high	3.421
high	2.788
high	3.413
high	2.45
high	1.908
high	3.038
high	1.856
high	2.53
high	3.942
high	4.391
high	1.695
high	3.443
high	2.914
high	2.586
high	1.434
high	1.333
high	2.188
high	3.194
high	1.986
high	2.033
high	3.215
high	4.579
high	2.553
high	3.094
high	5.243
high	3.482
high	2.237
high	2.511
high	3.294
high	1.79
high	2.599
high	2.365
high	4.421
high	3.225
moderate	2.086
moderate	2.446
moderate	2.422
moderate	4.635
moderate	2.389
moderate	3.846
moderate	2.16
moderate	2.781
moderate	2.589
moderate	1.889
moderate	1.826
moderate	2.113
moderate	2.705
moderate	3.406
moderate	1.959
moderate	1.571
moderate	1.642
moderate	3.022
moderate	1.976
moderate	3.626
moderate	1.966
moderate	0.85
moderate	3.682
moderate	2.837
moderate	1.731
moderate	1.867
moderate	2.59
moderate	1.661
moderate	2.556
moderate	2.628
moderate	1.327
moderate	2.458
moderate	2.022
moderate	2.602
moderate	3.038
moderate	3.853
moderate	3.848
moderate	1.85
moderate	3.488
moderate	1.978
moderate	2.03
moderate	1.353
moderate	5.937
moderate	1.147
moderate	3.01
moderate	5.991
moderate	3.323
moderate	3.183
moderate	3.193
moderate	2.725
moderate	3.453
moderate	1.718
moderate	2.183
moderate	0.668
moderate	2.393
moderate	1.756
