gene_name	iHS_GBR_max_500	iHS_snps_per_gene	pval_iHS_max	pval_iHS_max_fdr
DDX11L1		0.0	0.0	0.0
WASH7P	0.0	4.0	0.9375	1.0
MIR1302-11	0.0	1.0	0.5	1.0
FAM138A		0.0	0.0	0.0
OR4G4P	0.0	10.0	0.9990234375	1.0
OR4G11P	2.953	4.0	0.006279199239440314	0.045925226645685324
OR4F5		0.0	0.0	0.0
RP11-34P13.7		0.0	0.0	0.0
RP11-34P13.8		0.0	0.0	0.0
CICP27		0.0	0.0	0.0
AL627309.1		0.0	0.0	0.0
RP11-34P13.15		0.0	0.0	0.0
RP11-34P13.16		0.0	0.0	0.0
RP11-34P13.14		0.0	0.0	0.0
RP11-34P13.13		0.0	0.0	0.0
RNU6-1100P		0.0	0.0	0.0
RP11-34P13.9		0.0	0.0	0.0
AP006222.2		0.0	0.0	0.0
AP006222.1		0.0	0.0	0.0
RP4-669L17.10		0.0	0.0	0.0
RP4-669L17.8		0.0	0.0	0.0
CICP7		0.0	0.0	0.0
RP4-669L17.4		0.0	0.0	0.0
OR4F29		0.0	0.0	0.0
WBP1LP7		0.0	0.0	0.0
AL732372.1		0.0	0.0	0.0
RP4-669L17.2		0.0	0.0	0.0
RP5-857K21.15		0.0	0.0	0.0
RP4-669L17.1		0.0	0.0	0.0
RP5-857K21.1		0.0	0.0	0.0
RP5-857K21.2	3.247	7.0	0.004074859433373934	0.030480424547391628
RP5-857K21.3	3.247	10.0	0.005816140806492176	0.04268957339383957
RP5-857K21.4	2.438	12.0	0.08510085031311354	0.5079363729231225
RP5-857K21.5		0.0	0.0	0.0
MTND1P23		0.0	0.0	0.0
MTND2P28		0.0	0.0	0.0
hsa-mir-6723		0.0	0.0	0.0
RP5-857K21.7		0.0	0.0	0.0
MTATP8P1		0.0	0.0	0.0
MTATP6P1		0.0	0.0	0.0
RP5-857K21.11	0.0	2.0	0.75	1.0
WBP1LP6		0.0	0.0	0.0
OR4F16		0.0	0.0	0.0
CICP3		0.0	0.0	0.0
RP11-206L10.1		0.0	0.0	0.0
RP11-206L10.3		0.0	0.0	0.0
RNU6-1199P		0.0	0.0	0.0
RP11-206L10.5		0.0	0.0	0.0
RP11-206L10.4		0.0	0.0	0.0
RP11-206L10.2		0.0	0.0	0.0
RP11-206L10.9		0.0	0.0	0.0
RP11-206L10.8		0.0	0.0	0.0
AL669831.1		0.0	0.0	0.0
RP11-206L10.10		0.0	0.0	0.0
FAM87B		0.0	0.0	0.0
LINC00115		0.0	0.0	0.0
RP11-206L10.11		0.0	0.0	0.0
FAM41C		0.0	0.0	0.0
TUBB8P11		0.0	0.0	0.0
AL645608.2		0.0	0.0	0.0
RP11-54O7.16	1.403	60.0	0.9934153508280626	1.0
RP11-54O7.1	1.403	46.0	0.978741055834149	1.0
RP11-54O7.2	0.991	18.0	0.957422520815774	1.0
RP11-54O7.3	1.629	72.0	0.9780452719441691	1.0
SAMD11	1.916	154.0	0.9867430239430479	1.0
AL645608.1	0.0	6.0	0.984375	1.0
NOC2L	1.622	217.0	0.999991538062692	1.0
KLHL17	1.876	66.0	0.8690060954744838	1.0
PLEKHN1	2.793	144.0	0.31373259026116007	1.0
C1orf170	2.605	39.0	0.16436850984717133	0.8805890721997531
RP11-54O7.17	2.051	33.0	0.4888970079632319	1.0
HES4	2.365	20.0	0.16566337888495197	0.88637720568553
RP11-54O7.10	0.0	6.0	0.984375	1.0
RP11-54O7.11	1.907	15.0	0.34949710756827745	1.0
ISG15	1.907	20.0	0.43636367319116653	1.0
AGRN	3.778	340.0	0.026518883322896758	0.17835436348515707
RP11-54O7.14	1.011	21.0	0.9716141038661924	1.0
RP11-465B22.3	0.0	9.0	0.998046875	1.0
RP11-54O7.18		0.0	0.0	0.0
RNF223	1.78	44.0	0.814271554565951	1.0
C1orf159	1.881	286.0	0.9998346082360056	1.0
RP11-465B22.5	0.0	48.0	0.9999999999999964	1.0
MIR200B	0.0	11.0	0.99951171875	1.0
MIR200A	0.0	11.0	0.99951171875	1.0
MIR429	0.0	15.0	0.999969482421875	1.0
RP11-465B22.8	0.0	30.0	0.9999999990686774	1.0
TTLL10-AS1	0.0	109.0	1.0	1.0
TTLL10	1.468	316.0	0.9999999999232166	1.0
TNFRSF18	1.675	39.0	0.8468180623374819	1.0
TNFRSF4	1.965	25.0	0.46497219006588497	1.0
SDF4	3.574	194.0	0.03353015755741695	0.2207367068235459
B3GALT6	2.679	36.0	0.12467697213344298	0.7010504963693888
FAM132A	2.781	15.0	0.03988188583232466	0.2580304052620267
RP5-902P8.12		0.0	0.0	0.0
UBE2J2	2.588	157.0	0.5321625436505575	1.0
RP5-902P8.10	3.296	81.0	0.03895006292113268	0.2527905084826523
SCNN1D	2.774	112.0	0.26692805833876176	1.0
ACAP3	3.307	130.0	0.05946840307346357	0.3696649980479805
PUSL1	2.175	17.0	0.2241066884162941	1.0
CPSF3L	3.06	59.0	0.06324225119956872	0.3908980508927515
RP5-890O3.9	3.06	23.0	0.025146279078407052	0.1697740615491986
GLTPD1	3.684	38.0	0.004353190261684237	0.03242476680497553
TAS1R3	2.053	67.0	0.7423266037530332	1.0
DVL1	4.033	118.0	0.0032438595151603744	0.024531396098180534
MXRA8	0.85	18.0	0.9810142736699307	1.0
AURKAIP1		0.0	0.0	0.0
RP5-890O3.3		0.0	0.0	0.0
CCNL2	2.511	83.0	0.39415252949756086	1.0
RP4-758J18.2	1.4	19.0	0.7980799915080508	1.0
MRPL20	2.443	30.0	0.19690763434574676	1.0
RN7SL657P	0.0	1.0	0.5	1.0
RP4-758J18.13	1.694	5.0	0.206192427381379	1.0
ANKRD65	2.58	27.0	0.12515711188953083	0.7035451757435397
RP4-758J18.7	2.58	7.0	0.03407183007544912	0.22381881109962373
TMEM88B		0.0	0.0	0.0
RP4-758J18.10		0.0	0.0	0.0
VWA1		0.0	0.0	0.0
ATAD3C		0.0	0.0	0.0
ATAD3B		0.0	0.0	0.0
ATAD3A		0.0	0.0	0.0
TMEM240		0.0	0.0	0.0
SSU72	2.724	283.0	0.5991228537869844	1.0
AL645728.2	1.603	22.0	0.708335285550878	1.0
AL645728.1	1.042	9.0	0.765189837475316	1.0
AL645728.3	1.24	16.0	0.8378834389997715	1.0
C1orf233	1.869	12.0	0.31309049317405635	1.0
