gene_name	ihs
5S_rRNA	2.686
7SK	2.333
A1BG	0.72
A1BG-AS1	0.767
A1CF	1.741
A2M	1.617
A2M-AS1	0.836
A2ML1	4.762
A2ML1-AS1	2.194
A2ML1-AS2	0.714
A2MP1	1.677
A3GALT2	0.809
A4GALT	3.399
A4GNT	1.584
AAAS	1.28
AACS	2.007
AACSP1	2.021
AADAC	2.029
AADACL2	2.02
AADACL3	3.369
AADACL4	1.34
AADAT	4.504
AAED1	1.147
AAGAB	1.691
AAK1	3.856
AAMDC	1.552
AAMP	0.72
AANAT	1.629
AAR2	2.251
AARD	1.457
AARS	1.7
AARS2	1.191
AARSD1	1.324
AASDH	1.461
AASDHPPT	2.315
AASS	2.451
AATF	1.439
AATK	1.976
AATK-AS1	2.036
AB015752.3	4.436
ABAT	3.19
ABC7-42389800N19.1	
ABCA1	4.441
ABCA10	2.361
ABCA11P	2.041
ABCA12	2.451
ABCA13	4.815
ABCA17P	1.615
ABCA2	1.52
ABCA3	6.661
ABCA4	3.052
ABCA5	3.298
ABCA6	2.013
ABCA7	2.57
ABCA8	2.72
ABCA9	3.084
ABCA9-AS1	1.881
ABCB1	3.631
ABCB10	2.902
ABCB11	4.898
ABCB4	1.573
ABCB5	2.606
ABCB6	2.518
ABCB7	1.116
ABCB8	1.192
ABCB9	1.964
ABCC1	4.64
ABCC10	1.615
ABCC11	1.535
ABCC12	2.132
ABCC13	2.311
ABCC2	1.629
ABCC3	2.029
ABCC4	4.995
ABCC5	2.086
ABCC5-AS1	2.086
ABCC6	3.468
ABCC6P1	
ABCC6P2	1.702
ABCC8	2.767
ABCC9	3.832
ABCD1	2.047
ABCD1P2	
ABCD1P3	
ABCD1P4	
ABCD1P5	
ABCD2	2.154
ABCD3	4.264
ABCD4	1.545
ABCE1	0.599
ABCF1	3.044
ABCF2	0.843
ABCF2P1	6.516
ABCF2P2	0.927
ABCF3	1.696
ABCG1	2.684
ABCG2	2.111
ABCG4	1.369
ABCG5	2.423
ABCG8	2.527
ABHD1	1.004
ABHD10	1.234
ABHD11	1.48
ABHD12	1.94
ABHD12B	2.138
ABHD13	1.639
ABHD14A	0.594
ABHD14A-ACY1	0.889
ABHD14B	0.845
ABHD15	0.766
ABHD16A	0.235
ABHD16B	1.384
ABHD17A	0.59
ABHD17AP3	0.96
ABHD17AP4	4.863
ABHD17AP5	1.133
ABHD17AP6	1.814
ABHD17B	2.222
ABHD17C	2.939
ABHD2	1.587
ABHD3	2.755
ABHD4	1.572
ABHD5	1.95
ABHD6	2.546
ABHD8	3.814
ABI1	2.404
ABI2	3.223
ABI3	1.336
ABI3BP	4.634
ABL1	3.02
ABL2	4.108
ABLIM1	3.837
ABLIM2	4.089
ABLIM3	2.454
ABO	3.114
ABR	3.846
ABRA	3.948
ABRACL	2.377
ABT1	2.11
ABT1P1	1.079
ABTB1	1.32
ABTB2	3.498
AC000003.1	-0.029
AC000003.2	1.163
AC000036.4	0.566
AC000041.8	2.311
AC000067.1	2.432
AC000068.10	
AC000068.5	0.576
AC000068.9	0.932
AC000077.2	2.619
AC000078.5	-0.004
AC000081.2	0.175
AC000089.3	
AC000095.9	0.953
AC000099.1	0.87
AC000110.1	1.797
AC000111.3	1.334
AC000111.4	
AC000111.5	
AC000111.6	1.556
AC000120.7	0.697
AC000123.4	0.552
AC000124.1	1.503
AC000362.1	0.329
AC000367.1	0.346
AC000370.2	4.045
AC000374.1	0.393
AC002044.4	-0.34
AC002055.4	1.375
AC002056.3	1.289
AC002059.10	
AC002064.4	1.25
AC002064.5	4.231
AC002066.1	2.937
AC002069.5	2.265
AC002069.6	2.418
AC002075.3	0.63
AC002076.10	1.63
AC002115.5	1.027
AC002115.9	1.811
AC002116.7	1.754
AC002116.8	1.119
AC002117.1	0.952
AC002127.2	-0.377
AC002127.4	1.562
AC002128.4	1.278
AC002128.5	0.345
AC002306.1	0.667
AC002310.10	1.221
AC002310.12	0.38
AC002310.13	1.221
AC002310.7	0.564
AC002314.4	1.832
AC002331.1	4.573
AC002365.1	1.226
AC002366.3	-1.104
AC002368.4	1.461
AC002383.2	2.546
AC002386.1	3.086
AC002395.1	
AC002398.11	1.489
AC002398.12	
AC002398.13	1.438
AC002398.5	1.377
AC002398.9	1.489
AC002400.1	1.149
AC002401.1	0.707
AC002429.4	
AC002429.5	1.029
AC002451.1	2.465
AC002451.3	4.495
AC002454.1	3.072
AC002456.2	0.947
AC002463.3	2.64
AC002465.2	1.911
AC002467.7	2.608
AC002472.1	2.263
AC002472.11	1.459
AC002472.13	1.623
AC002477.1	
AC002480.2	2.314
AC002480.3	2.451
AC002480.4	
AC002480.5	2.451
AC002485.1	3.151
AC002486.2	2.234
AC002486.3	-1.09
AC002511.1	1.936
AC002511.2	1.139
AC002511.3	2.162
AC002523.1	3.107
AC002539.1	4.599
AC002539.2	1.598
AC002542.2	-0.145
AC002543.2	0.941
AC002550.5	1.003
AC002551.1	1.579
AC002553.1	-0.34
AC002553.4	-0.576
AC002985.3	1.777
AC002994.1	0.974
AC003002.4	1.861
AC003002.6	0.65
AC003003.5	2.757
AC003005.2	1.8
AC003005.4	1.177
AC003006.7	1.973
AC003009.1	
AC003009.2	0.92
AC003029.1	1.65
AC003035.1	1.696
AC003045.1	2.299
AC003051.1	2.833
AC003075.4	2.204
AC003079.1	
AC003080.4	
AC003084.2	2.653
AC003087.4	
AC003088.1	3.579
AC003090.1	4.608
AC003092.1	1.62
AC003092.2	2.86
AC003101.1	1.72
AC003102.1	1.19
AC003104.1	0.488
AC003658.1	0.745
AC003664.1	5.206
AC003665.1	3.51
AC003682.16	1.894
AC003956.1	1.222
AC003958.2	1.823
AC003958.6	-0.039
AC003968.1	4.454
AC003973.1	-1.608
AC003973.4	1.503
AC003973.5	1.168
AC003973.6	0.616
AC003984.1	2.562
AC003985.1	2.08
AC003986.5	4.926
AC003986.7	2.472
AC003988.1	3.692
AC003989.3	-0.284
AC003989.4	
AC003991.3	2.851
AC004006.2	3.397
AC004009.3	2.375
AC004012.1	1.53
AC004014.3	1.443
AC004014.4	3.598
AC004016.1	
AC004016.2	0.328
AC004017.1	
AC004019.10	1.774
AC004019.13	2.593
AC004019.18	0.655
AC004022.7	
AC004022.8	
AC004041.2	5.413
AC004051.2	1.214
AC004053.1	1.782
AC004054.1	1.16
AC004057.1	1.608
AC004062.2	3.565
AC004063.1	1.051
AC004066.2	1.8
AC004066.3	2.078
AC004067.5	0.282
AC004069.1	0.154
AC004069.2	0.732
AC004070.1	3.134
AC004074.3	0.962
AC004074.4	1.578
AC004076.7	1.043
AC004076.9	2.009
AC004112.4	1.47
AC004125.3	1.556
AC004129.9	1.262
AC004156.3	1.592
AC004158.2	1.975
AC004158.3	1.337
AC004159.1	2.807
AC004160.4	1.578
AC004166.6	
AC004221.2	0.388
AC004231.2	2.148
AC004237.1	3.502
AC004257.1	1.718
AC004257.3	0.75
AC004381.6	0.831
AC004381.7	0.953
AC004383.3	1.006
AC004386.3	0.911
AC004386.4	0.764
AC004447.2	0.322
AC004448.2	1.239
AC004448.5	1.815
AC004449.6	0.761
AC004453.8	
AC004458.1	1.257
AC004463.6	2.377
AC004466.1	1.887
AC004471.10	2.696
AC004471.9	2.69
AC004485.3	2.07
AC004490.1	0.649
AC004520.1	2.933
AC004528.1	3.069
AC004528.4	3.304
AC004535.2	2.16
AC004538.3	5.702
AC004540.4	1.441
AC004540.5	5.338
AC004543.1	
AC004543.2	3.09
AC004549.6	1.022
AC004562.1	4.631
AC004593.3	2.09
AC004595.1	1.533
AC004609.1	2.664
AC004623.2	1.293
AC004637.1	-0.661
AC004691.5	1.611
AC004692.4	2.479
AC004702.2	3.545
AC004706.1	2.877
AC004744.3	1.626
AC004745.1	2.778
AC004769.1	3.095
AC004771.1	0.766
AC004775.5	0.48
AC004797.1	
AC004817.1	-1.216
AC004824.2	1.015
AC004832.1	1.435
AC004837.3	1.201
AC004837.4	1.239
AC004837.5	-0.473
AC004840.8	2.539
AC004840.9	1.829
AC004854.4	0.774
AC004854.5	1.978
AC004862.6	4.222
AC004866.1	2.874
AC004866.3	1.733
AC004869.2	2.05
AC004869.3	1.026
AC004870.3	1.957
AC004870.4	2.79
AC004870.5	-0.268
AC004875.1	2.208
