gene	score	length	avg_score
A1BG	115.655	1572	0.07357188295165394
A1CF	610.765	2124	0.287554143126177
A2M	1454.741	4655	0.3125114930182599
A2ML1	1456.844	4625	0.3149932972972973
A3GALT2	368.962	1036	0.3561409266409266
A4GALT	368.739	1059	0.3481954674220963
A4GNT	363.707	1020	0.3565754901960784
AAAS	647.242	1697	0.3814036535061874
AACS	693.871	2199	0.3155393360618463
AADAC	389.049	1209	0.3217940446650124
AADACL2	447.912	1156	0.38746712802768163
AADACL3	277.214	1060	0.26152264150943394
AADACL4	221.652	1227	0.18064547677261614
AADAT	490.961	1434	0.3423716875871688
AAED1	219.249	702	0.3123205128205128
AAGAB	345.418	997	0.346457372116349
AAK1	909.991	3226	0.282080285182889
AAMDC	166.567	876	0.1901449771689498
AAMP	427.021	1403	0.3043627940128297
AANAT	221.35	866	0.25560046189376445
AAR2	435.262	1374	0.31678457059679765
AARD	85.553	467	0.18319700214132761
AARS	969.217	3090	0.31366245954692556
AARS2	1079.211	3038	0.3552373271889401
AARSD1	91.396	330	0.27695757575757574
AASDH	1182.598	3302	0.3581459721380981
AASDHPPT	318.902	941	0.3388969181721573
AASS	1008.449	2976	0.3388605510752688
AATF	553.434	1780	0.31091797752808986
AATK	1004.542	4245	0.2366412249705536
ABAT	527.382	1770	0.2979559322033898
ABCA1	2097.421	7434	0.2821389561474307
ABCA10	1097.411	4779	0.22963193136639465
ABCA12	2947.634	8151	0.36162851183903816
ABCA13	3854.21	15457	0.24935045610403053
ABCA2	2162.355	7904	0.2735773026315789
ABCA3	1622.379	5273	0.30767665465579364
ABCA4	2411.941	7318	0.32959018857611366
ABCA5	1933.898	5179	0.3734114693956362
ABCA6	1638.001	5058	0.32384361407671014
ABCA7	1872.073	6680	0.2802504491017964
ABCA8	1427.741	5072	0.2814946766561514
ABCA9	1631.531	4975	0.3279459296482412
ABCB1	1455.242	3949	0.3685089896176247
ABCB10	708.641	2274	0.31162752858399295
ABCB11	1521.795	4156	0.3661681905678537
ABCB4	1516.745	3946	0.3843753167764825
ABCB5	1699.06	3918	0.4336549259826442
ABCB6	874.096	2632	0.3321033434650456
ABCB8	718.759	2532	0.28387006319115327
ABCB9	804.307	2443	0.3292292263610315
ABCC1	1694.11	4786	0.35397200167154197
ABCC10	1576.54	4707	0.3349352028893138
ABCC11	1271.965	4208	0.30227305133079846
ABCC12	1685.968	4196	0.4018036224976168
ABCC2	1740.513	4792	0.3632122287145242
ABCC3	1680.603	5116	0.32849941360437845
ABCC4	1516.371	4191	0.36181603435934145
ABCC5	1503.739	5142	0.29244243485025284
ABCC6	1719.229	4729	0.36355022203425674
ABCC8	1396.507	5005	0.27902237762237764
ABCC9	1472.343	5134	0.2867828204129334
ABCD2	688.715	2273	0.30299824021117466
ABCD3	574.944	2239	0.256786065207682
ABCD4	584.968	2106	0.2777625830959164
ABCE1	367.06	1908	0.19237945492662473
ABCF1	913.2139999999999	2644	0.3453910741301059
ABCF2	522.535	1997	0.26165998998497747
ABCF3	640.138	2267	0.28237229819144244
ABCG1	728.895	2996	0.24328938584779705
ABCG2	729.11	2170	0.33599539170506915
ABCG4	579.131	2015	0.28740992555831263
ABCG5	685.069	2121	0.322993399339934
ABCG8	681.861	2078	0.3281333012512031
ABHD1	470.312	1304	0.3606687116564417
ABHD10	294.594	953	0.3091227701993704
ABHD11	331.243	1078	0.3072755102040816
ABHD12	404.827	1688	0.23982642180094788
ABHD12B	428.278	1144	0.3743688811188811
ABHD13	342.767	1011	0.3390375865479723
ABHD14A	259.487	892	0.2909047085201794
