	gene_human	entrez_id_human	gene_mouse	MGI	MPO_lower	HPO_lower	clusters_m	clusters_h	n_clusters_m	n_clusters_h
0	A1BG	1	A1bg	MGI:2152878						
1	A1CF	29974	A1cf	MGI:1917115	MP:0005378,MP:0003140,MP:0004565,MP:0011925,MP:0002972,MP:0002625,MP:0005166,MP:0008950,MP:0008725,MP:0005560,MP:0003674,MP:0001544,MP:0005331,MP:0002891,MP:0003822,MP:0010563,MP:0001853,MP:0010052,MP:0002139,MP:0002727,MP:0001265,MP:0008260,MP:0005292,MP:0006264,MP:0031417,MP:0005266,MP:0010400,MP:0000280,MP:0030973,MP:0006036,MP:0005406,MP:0002953,MP:0010956,MP:0002834,MP:0005333,MP:0005178,MP:0004145,MP:0001625,MP:0006321,MP:0010505,MP:0010959,MP:0005290,MP:0010637,MP:0009763,MP:0004090,MP:0001636,MP:0010519,MP:0002795,MP:0005282,MP:0005608,MP:0008022,MP:0005330,MP:0004011,MP:0004566,MP:0011953,MP:0010633,MP:0010754,MP:0021160,MP:0011633,MP:0004486,MP:0005665,MP:0004091,MP:0005140,MP:0021157,MP:0008772,MP:0010334,MP:0006141,MP:0000277,MP:0003393,MP:0010579,MP:0011634,MP:0000274,MP:0002626,MP:0005312,MP:0001855,MP:0004215,MP:0011424,MP:0008412,MP:0005602,MP:0012106,MP:0004485,MP:0012688,MP:0006038,MP:0000343,MP:0020367,MP:0004084,MP:0003928,MP:0010955,MP:0013278,MP:0011094,MP:0005561,MP:0003061,MP:0005324,MP:0005621,MP:0003484,MP:0002753,MP:0006142,MP:0000352,MP:0011632,MP:0004122,MP:0002833,MP:0005389,MP:0030018,MP:0003038,MP:0002754,MP:0009356,MP:0004114,MP:0004484,MP:0000266,MP:0000278,MP:0005202,MP:0002078,MP:0009642,MP:0003920,MP:0009643,MP:0003828,MP:0011086,MP:0003141,MP:0005385,MP:0001552,MP:0006267,MP:0005630,MP:0031131,MP:0008751,MP:0010392,MP:0004121,MP:0003222,MP:0013272,MP:0002127,MP:0005633,MP:0001263,MP:0005599,MP:0011915,MP:0002083,MP:0003921,MP:0010630,MP:0005659,MP:0021158,MP:0003923,MP:0003402,MP:0014172,MP:0006138,MP:0004231,MP:0003915,MP:0005329,MP:0003896,MP:0004093,MP:0010725,MP:0003223,MP:0010768,MP:0005598,MP:0004564,MP:0003458,MP:0003137		541,1244,2837,1822,1552,25,4419,4055,2241,5589,2236,415,3419,3254,6825,4267,2024,3840,3333,3452,3130,6801,949,589,5269,1872,480,1717,3651,2538,3989,3508,2770,816,1305,2234,1227,1559,5754,1820,4053,532,6763,976,2593,1453,987,1338,1426,1902,91,704,816,138,4633,6379,5443,2813,2032,4464,608,2073,1477,6104,517,4397,3133,3044,1899,4366,6764,3465,2491,2086,1503,1143,6714,2232,662,5918,445,2734,6447,418,6629,2533,4653,3088,5561,380,2337,567,5288,1911,1015,614,5316,1968,2732,4841,3222,5553,6236,1736,4409,893,6765,3702,184,94,1916,3156,4097,5159,2265,1673,203,1378,2635,3303,2283,6022,3253,1137,538,842,3143,4957,5540,3426,2108,4235,1902,3221,1363,6284,1835,6824,5471,4531,2606,629,1627,387,1328,3733,2864,6938,4620,3084,1630,463,2214,732		152	
2	A2M	2	A2m	MGI:2449119						
3	A3GALT2	127550	A3galt2	MGI:2685279						
4	A4GALT	53947	A4galt	MGI:3512453	MP:0009747,MP:0009767,MP:0008874		3811,3167,3478		3	
5	A4GNT	51146	A4gnt	MGI:2143261	MP:0010792,MP:0005493,MP:0008010,MP:0003721,MP:0005601,MP:0000351,MP:0001873,MP:0001663		2205,3412,1146,1662,960,4190,796,810		8	
6	AAAS	8086	Aaas	MGI:2443767	MP:0001262,MP:0001926,MP:0001516,MP:0001417,MP:0001402	HP:0000972,HP:0001249,HP:0001430,HP:0000407,HP:0009916,HP:0000846,HP:0007556,HP:0001324,HP:0000648,HP:0001278,HP:0007440,HP:0000522,HP:0000649,HP:0007002,HP:0010486,HP:0008259,HP:0001260,HP:0001263,HP:0012332,HP:0001761,HP:0000252,HP:0001252,HP:0000505,HP:0004319,HP:0002571,HP:0002376,HP:0008163,HP:0001347,HP:0002093,HP:0001250,HP:0000612,HP:0004322,HP:0001251,HP:0000830,HP:0000953,HP:0003487,HP:0000982	828,1495,2158,3197,1024	2488,544,177,2507,491,907,2367,4890,2221,761,824,749,2593,2748,2748,486,2855,3622,3037,1670,847,2755,5235,699,486,4188,3943,4753,2767,3492,1851,76,3140,1946,3667,3348,1647	5	35
7	AACS	65985	Aacs	MGI:1926144	MP:0001399		3358		1	
8	AADAC	13	Aadac	MGI:1915008	MP:0000703,MP:0002092,MP:0009709,MP:0002135,MP:0000538,MP:0000689,MP:0003068,MP:0000706,MP:0001120		2846,1508,474,341,727,1499,3193,5512,1346		9	
9	AADACL2	344752	Aadacl2	MGI:3646333						
