chrom	start	end	gene_name	fg_pleio_degree	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide
1	1108436.0	1114935.0	TTLL10-AS1	1.0			1.0
1	1152288.0	1167411.0	SDF4	1.0			
1	1227756.0	1244989.0	ACAP3	1.0			1.0
1	1270656.0	1284730.0	DVL1	2.0			1.0
1	1288069.0	1297157.0	MXRA8	1.0			1.0
1	1353800.0	1357149.0	ANKRD65	1.0			
1	1682671.0	1711896.0	NADK	1.0			
1	1716729.0	1822495.0	GNB1	1.0	1.0		1.0
1	1981909.0	2116834.0	PRKCZ	3.0			3.0
1	2252692.0	2323146.0	MORN1	1.0			3.0
1	2487078.0	2496821.0	TNFRSF14	1.0			
1	2522078.0	2564481.0	MMEL1	1.0			
1	2985732.0	3355185.0	PRDM16	3.0	4.0	2.0	4.0
1	3569084.0	3652765.0	TP73	1.0			5.0
1	6241329.0	6269449.0	RPL22	1.0			1.0
1	6526152.0	6580121.0	PLEKHG5	1.0			1.0
1	6673745.0	6684093.0	PHF13	1.0	1.0		1.0
1	6845384.0	7829766.0	CAMTA1	1.0	2.0	1.0	2.0
1	7831329.0	7841492.0	VAMP3	1.0			3.0
1	7903143.0	7913572.0	UTS2	1.0	1.0	1.0	2.0
1	8014351.0	8045565.0	PARK7	1.0			
1	8412457.0	8877702.0	RERE	1.0	4.0	2.0	6.0
1	9352939.0	9429591.0	SPSB1	5.0	2.0		2.0
1	9648932.0	9674935.0	TMEM201	1.0			2.0
1	9789084.0	9884584.0	CLSTN1	1.0			
1	10092890.0	10241297.0	UBE4B	1.0	1.0		3.0
1	10532345.0	10690815.0	PEX14	1.0			1.0
1	10696661.0	10856707.0	CASZ1	6.0	1.0		1.0
1	11072414.0	11085796.0	TARDBP	1.0			2.0
1	11166592.0	11322564.0	MTOR	1.0	4.0	1.0	4.0
1	11249398.0	11256038.0	ANGPTL7	1.0	1.0		4.0
1	11845780.0	11866977.0	MTHFR	2.0	2.0		3.0
1	11866207.0	11903201.0	CLCN6	2.0	2.0		3.0
1	11905766.0	11908402.0	NPPA	1.0			3.0
1	12227060.0	12269285.0	TNFRSF1B	1.0			
1	15764935.0	15775737.0	CTRC	1.0			1.0
1	15783223.0	15798586.0	CELA2A	1.0			1.0
1	16345370.0	16360545.0	CLCNKA	1.0			2.0
1	17312453.0	17338423.0	ATP13A2	1.0	1.0		3.0
1	17345217.0	17380665.0	SDHB	1.0			3.0
1	17698691.0	17728195.0	PADI6	2.0			
1	17733256.0	17766220.0	RCC2	1.0			
1	17740127.0	17740190.0	AC004824.1	1.0			
1	18434240.0	18704977.0	IGSF21	1.0			
1	19665267.0	19812066.0	CAPZB	1.0	1.0		1.0
1	19923477.0	19956314.0	MINOS1	2.0			1.0
1	19967048.0	19984945.0	NBL1	1.0			1.0
1	20140523.0	20141771.0	RNF186	1.0			
1	21132963.0	21503377.0	EIF4G3	1.0	1.0	1.0	1.0
1	21543740.0	21671997.0	ECE1	3.0	3.0	2.0	4.0
1	21835858.0	21904905.0	ALPL	1.0	2.0	2.0	3.0
1	21922708.0	21995801.0	RAP1GAP	1.0	3.0	3.0	3.0
1	22148738.0	22263790.0	HSPG2	1.0	1.0	1.0	1.0
1	22303514.0	22325135.0	CELA3B	1.0	1.0	1.0	2.0
1	22379120.0	22419437.0	CDC42	1.0			2.0
1	22443798.0	22470462.0	WNT4	3.0	4.0	3.0	4.0
1	23037332.0	23241818.0	EPHB2	1.0			
1	23410516.0	23504301.0	LUZP1	1.0	1.0		1.0
1	24480647.0	24514449.0	IFNLR1	1.0			
1	24683489.0	24743424.0	STPG1	1.0			
1	24829387.0	24867530.0	RCAN3	1.0			
1	25071848.0	25170815.0	CLIC4	1.0	1.0		3.0
1	25226002.0	25291612.0	RUNX3	4.0	3.0	2.0	3.0
1	25349994.0	25350077.0	MIR4425	1.0			1.0
1	25688740.0	25756683.0	RHCE	1.0	6.0	2.0	7.0
1	26919737.0	26920037.0	RN7SL679P	1.0			1.0
1	27022524.0	27108595.0	ARID1A	2.0	1.0	3.0	4.0
1	27153201.0	27184093.0	ZDHHC18	1.0	1.0	1.0	4.0
1	27216979.0	27226957.0	GPATCH3	1.0			1.0
1	27425306.0	27493472.0	SLC9A1	2.0			
1	27730730.0	27816669.0	WASF2	1.0			
1	28052490.0	28089633.0	FAM76A	1.0			
1	28918712.0	28921955.0	RAB42	1.0			
1	31404353.0	31538838.0	PUM1	1.0			
1	32372022.0	32410457.0	PTP4A2	1.0	1.0		1.0
1	36560837.0	36590821.0	COL8A2	1.0			
1	36621180.0	36646450.0	MAP7D1	1.0			
1	36771988.0	36790484.0	SH3D21	1.0			
1	38000050.0	38019903.0	SNIP1	2.0			
1	38326369.0	38412729.0	INPP5B	3.0			1.0
1	38422647.0	38456593.0	SF3A3	1.0	1.0		1.0
1	39303870.0	39325495.0	RRAGC	1.0			1.0
1	40089825.0	40105617.0	HEYL	1.0	2.0		5.0
1	40306723.0	40349183.0	TRIT1	2.0			1.0
1	41249684.0	41306124.0	KCNQ4	1.0			
1	41944446.0	41950344.0	EDN2	1.0			
1	41972036.0	42501596.0	HIVEP3	1.0	1.0	1.0	1.0
1	43457109.0	43457215.0	RNU6-880P	1.0			3.0
1	43990858.0	44089343.0	PTPRF	1.0	1.0	1.0	1.0
1	46252659.0	46501796.0	MAST2	2.0	5.0	2.0	6.0
1	46640745.0	46651630.0	TSPAN1	1.0			2.0
1	47427036.0	47516423.0	CYP4X1	1.0			
1	50883222.0	50889172.0	DMRTA2	1.0			2.0
1	50905150.0	51425935.0	FAF1	4.0	3.0	2.0	3.0
1	51426417.0	51440305.0	CDKN2C	2.0	2.0	1.0	3.0
1	51567906.0	51613752.0	C1orf185	1.0			
1	51752930.0	51810788.0	TTC39A	1.0			
1	51819935.0	51985000.0	EPS15	1.0			
1	54356912.0	54376759.0	DIO1	1.0			
1	54382247.0	54411602.0	HSPB11	1.0			
1	55107463.0	55175939.0	MROH7	1.0			
1	55464606.0	55476556.0	BSND	1.0	1.0	4.0	1.0
1	55505221.0	55530525.0	PCSK9	2.0	1.0	4.0	1.0
1	55532032.0	55680786.0	USP24	2.0	1.0	1.0	1.0
1	56843005.0	56843090.0	AC119674.1	2.0			
1	57004124.0	57004583.0	RPL21P23	1.0			
1	57460451.0	59012406.0	DAB1	1.0			
1	61330931.0	61928465.0	NFIA	2.0	1.0	1.0	1.0
1	62920399.0	63153969.0	DOCK7	1.0	5.0	7.0	6.0
1	64936428.0	65158741.0	CACHD1	1.0			
1	65210778.0	65298915.0	RAVER2	2.0			1.0
1	66258197.0	66840259.0	PDE4B	5.0	4.0	2.0	4.0
1	67278568.0	67390570.0	WDR78	1.0			
1	67557848.0	67697536.0	C1orf141	2.0			
1	67632083.0	67725662.0	IL23R	5.0			
1	67733284.0	67733409.0	RNU4ATAC4P	1.0			
1	68150744.0	68154021.0	GADD45A	1.0			
1	68167149.0	68299150.0	GNG12	1.0	1.0	1.0	1.0
1	68297986.0	68668670.0	GNG12-AS1	1.0	2.0	2.0	2.0
1	84330711.0	84464833.0	TTLL7	1.0			
1	85277285.0	85358896.0	LPAR3	1.0			
1	85784164.0	86043933.0	DDAH1	2.0			
1	86194916.0	86622626.0	COL24A1	1.0	1.0		1.0
1	92145902.0	92371892.0	TGFBR3	3.0	2.0	1.0	2.0
1	92414928.0	92479983.0	BRDT	1.0			2.0
1	92764522.0	92867613.0	RPAP2	1.0	1.0		4.0
1	100652475.0	100715390.0	DBT	1.0			
1	100810584.0	100985833.0	CDC14A	1.0			
1	103342023.0	103574052.0	COL11A1	3.0	2.0		2.0
1	108113782.0	108507766.0	VAV3	1.0			
1	109656301.0	109749401.0	KIAA1324	1.0	1.0	3.0	2.0
1	109792641.0	109818372.0	CELSR2	2.0	4.0	7.0	5.0
1	110091233.0	110136975.0	GNAI3	2.0	1.0	4.0	2.0
1	110198703.0	110208118.0	GSTM4	1.0			4.0
1	110452864.0	110473614.0	CSF1	1.0	3.0	1.0	3.0
1	111682249.0	111727724.0	CEPT1	1.0	1.0	1.0	4.0
1	112313284.0	112531777.0	KCND3	1.0			
1	113009163.0	113072787.0	WNT2B	4.0	3.0	1.0	4.0
1	113161795.0	113214241.0	CAPZA1	1.0	1.0	1.0	3.0
1	113933371.0	114228545.0	MAGI3	3.0	1.0		1.0
1	114239453.0	114302111.0	PHTF1	3.0			
1	114304454.0	114355098.0	RSBN1	1.0			1.0
1	114356433.0	114414381.0	PTPN22	8.0	1.0		1.0
1	114399257.0	114443859.0	AP4B1-AS1	1.0			1.0
1	114420790.0	114430169.0	BCL2L15	1.0			1.0
1	114522063.0	114524876.0	OLFML3	1.0			
1	115590632.0	115632121.0	TSPAN2	2.0			
1	115828539.0	115880857.0	NGF	1.0			
1	116184574.0	116240845.0	VANGL1	1.0			
1	117057157.0	117113661.0	CD58	1.0			
1	117282603.0	117285231.0	NEFHP1	1.0			
1	119425669.0	119532179.0	TBX15	2.0	2.0	1.0	2.0
1	121261143.0	121310591.0	EMBP1	1.0			
1	145096220.0	145116922.0	SEC22B	1.0			
1	148555979.0	148596267.0	NBPF15	1.0			
1	149369722.0	149399226.0	HIST2H2BB	1.0			
1	149754227.0	149764074.0	FCGR1A	1.0			
1	149874870.0	149889434.0	SV2A	1.0	1.0		4.0
1	149900543.0	149908791.0	MTMR11	2.0	4.0	1.0	4.0
1	149909705.0	149982625.0	OTUD7B	2.0	3.0	2.0	5.0
1	150190717.0	150208504.0	ANP32E	1.0			
1	150521884.0	150533413.0	ADAMTSL4	1.0			6.0
1	150573327.0	150602088.0	ENSA	1.0	6.0	3.0	9.0
1	150618701.0	150669630.0	GOLPH3L	1.0	8.0	6.0	9.0
1	150670536.0	150693364.0	HORMAD1	2.0			5.0
1	150702672.0	150738433.0	CTSS	1.0			3.0
1	150768684.0	150780799.0	CTSK	1.0			2.0
1	150782181.0	150849244.0	ARNT	3.0	3.0	1.0	7.0
1	150933059.0	150947479.0	CERS2	2.0	4.0	4.0	9.0
1	150954493.0	150968110.0	ANXA9	1.0	4.0	3.0	8.0
1	151009046.0	151020076.0	BNIPL	1.0	2.0	2.0	2.0
1	151104161.0	151119104.0	SEMA6C	1.0	1.0		2.0
1	151170425.0	151222012.0	PIP5K1A	1.0	1.0		3.0
1	151682909.0	151702281.0	RIIAD1	1.0			
1	151778547.0	151804348.0	RORC	2.0	1.0	1.0	1.0
1	152140601.0	152339163.0	FLG-AS1	1.0			
1	152274651.0	152297679.0	FLG	2.0			
1	152758690.0	152760902.0	LCE1E	1.0			1.0
1	152943142.0	152945050.0	SPRR4	1.0			
1	153651113.0	153666468.0	NPR1	1.0			
1	153700543.0	153746555.0	INTS3	2.0			
1	153777201.0	153895451.0	GATAD2B	1.0	1.0		1.0
1	154192655.0	154243986.0	UBAP2L	1.0			1.0
1	154270126.0	154270224.0	RNU6-121P	1.0			1.0
1	154377669.0	154441926.0	IL6R	4.0	5.0	4.0	5.0
1	154540257.0	154552502.0	CHRNB2	1.0			4.0
1	154554538.0	154600475.0	ADAR	1.0	4.0	4.0	4.0
1	154669931.0	154842756.0	KCNN3	1.0	1.0	1.0	1.0
1	154955814.0	154965587.0	FLAD1	1.0	1.0		5.0
1	154975127.0	154990998.0	ZBTB7B	4.0	2.0		7.0
1	154990996.0	155006257.0	DCST2	1.0	4.0	1.0	7.0
1	155006300.0	155023406.0	DCST1	1.0	2.0	1.0	7.0
1	155023042.0	155035252.0	ADAM15	1.0	3.0	2.0	7.0
1	155121020.0	155121295.0	HMGN2P18	1.0	2.0	2.0	3.0
1	155165379.0	155178842.0	THBS3	1.0	4.0	3.0	5.0
1	155183616.0	155197214.0	GBAP1	3.0	1.0		5.0
1	155204243.0	155214490.0	GBA	1.0			4.0
1	155278539.0	155290457.0	FDPS	1.0	1.0		2.0
1	155305059.0	155532598.0	ASH1L	1.0	2.0	1.0	3.0
1	155629237.0	155658791.0	YY1AP1	1.0			
1	155657751.0	155708801.0	DAP3	1.0			2.0
1	155719508.0	155829191.0	GON4L	1.0	2.0	1.0	2.0
1	155916630.0	155976861.0	ARHGEF2	1.0			
1	156005092.0	156023585.0	UBQLN4	1.0			1.0
1	156052364.0	156109880.0	LMNA	1.0	1.0		1.0
1	156163880.0	156182587.0	SLC25A44	1.0			1.0
1	156182773.0	156213123.0	PMF1-BGLAP	1.0	1.0		1.0
1	156278759.0	156337664.0	CCT3	2.0			
1	156433519.0	156470620.0	MEF2D	1.0	1.0		1.0
1	156549519.0	156556562.0	TTC24	1.0			
1	156564279.0	156571288.0	GPATCH4	1.0			
1	156720402.0	156770607.0	PRCC	1.0			1.0
1	156785432.0	156851642.0	NTRK1	1.0			2.0
1	157715523.0	157746922.0	FCRL2	1.0			
1	159674773.0	159675397.0	CRPP1	1.0	1.0	1.0	1.0
1	159682079.0	159684379.0	CRP	3.0	1.0	1.0	1.0
1	160454820.0	160493052.0	SLAMF6	1.0			
1	161475220.0	161493803.0	FCGR2A	1.0	2.0	2.0	4.0
1	161736084.0	161933860.0	ATF6	1.0	1.0	2.0	3.0
1	162039564.0	162353321.0	NOS1AP	2.0	2.0	2.0	2.0
1	162601163.0	162757190.0	DDR2	1.0			
1	165696032.0	165796992.0	TMCO1	1.0	1.0		1.0
1	165796768.0	165880855.0	UCK2	1.0			
1	167399877.0	167487847.0	CD247	2.0			
1	167498914.0	167523004.0	CREG1	1.0			
1	168510003.0	168513235.0	XCL2	1.0			
1	168873143.0	169056243.0	LINC00970	1.0	1.0	1.0	1.0
1	169074935.0	169101960.0	ATP1B1	1.0			1.0
1	169101769.0	169337205.0	NME7	4.0			1.0
