	gene_human	entrez_id_human	gene_mouse	MGI	MP_HMD	MP_PhenoGeno	HP_genes_to_phenotype	MP_system_level	HP_system_level	MP_from_HP_system_level
0	A1BG	1	A1bg	MGI:2152878				['']	['']	[['']]
1	A1CF	29974	A1cf	MGI:1917115		MP:0005633,MP:0005140,MP:0005561,MP:0000352,MP:0010052,MP:0011094,MP:0005329,MP:0002833,MP:0002795		['MP:0005369', 'MP:0005386', 'MP:0005397', 'MP:0005378', 'MP:0005376', 'MP:0005384', 'MP:0005385']	['']	[['']]
2	A2M	2	A2m	MGI:2449119				['']	['']	[['']]
3	A3GALT2	127550	A3galt2	MGI:2685279		MP:0002169		[]	['']	[['']]
4	A4GALT	53947	A4galt	MGI:3512453		MP:0009747,MP:0009767,MP:0008874		['MP:0005386', 'MP:0005376']	['']	[['']]
5	A4GNT	51146	A4gnt	MGI:2143261		MP:0005601,MP:0001663,MP:0003721,MP:0001873,MP:0008010,MP:0010792,MP:0005493,MP:0000351		['MP:0002006', 'MP:0005381', 'MP:0005387', 'MP:0005384', 'MP:0005385']	['']	[['']]
6	AAAS	8086	Aaas	MGI:2443767		MP:0001402,MP:0001516,MP:0001262,MP:0001417,MP:0001926	HP:0009916,HP:0001278,HP:0001250,HP:0001252,HP:0001251,HP:0001251,HP:0001249,HP:0001260,HP:0001263,HP:0002571,HP:0002571,HP:0007440,HP:0001347,HP:0001347,HP:0007556,HP:0001324,HP:0000007,HP:0001430,HP:0002093,HP:0010486,HP:0008163,HP:0003487,HP:0008259,HP:0007002,HP:0007002,HP:0002376,HP:0003676,HP:0003621,HP:0000649,HP:0000648,HP:0000648,HP:0000612,HP:0004322,HP:0004322,HP:0004319,HP:0011463,HP:0011462,HP:0000830,HP:0000846,HP:0000846,HP:0000972,HP:0000982,HP:0000953,HP:0000252,HP:0000252,HP:0012332,HP:0000407,HP:0001761,HP:0000522,HP:0000505	['MP:0005386', 'MP:0005389', 'MP:0005378']	['HP:0000234', 'HP:0000598', 'HP:0001507', 'HP:0003117', 'HP:0000707', 'HP:0011024', 'HP:0003011', 'HP:0000924', 'HP:0000478', 'HP:0040064', 'HP:0002086', 'HP:0000818', 'HP:0001574', 'HP:0001626']	[['MP:0005382'], ['MP:0005377'], ['MP:0005378'], ['MP:0005376'], ['MP:0003631'], ['MP:0005381'], ['MP:0005369'], ['MP:0005390'], ['MP:0005391'], ['MP:0005371'], ['MP:0005388'], ['MP:0005379'], ['MP:0010771'], ['MP:0005385']]
7	AACS	65985	Aacs	MGI:1926144		MP:0001399		['MP:0005386']	['']	[['']]
8	AADAC	13	Aadac	MGI:1915008		MP:0000706,MP:0000689,MP:0002135,MP:0002092,MP:0000538,MP:0003068,MP:0000703		['MP:0005387', 'MP:0005397', 'MP:0005391', 'MP:0005379', 'MP:0005378', 'MP:0005367']	['']	[['']]
9	AADACL2	344752	Aadacl2	MGI:3646333				['']	['']	[['']]
10	AADACL3	126767	Aadacl3	MGI:2685281				['']	['']	[['']]
